,nrmse,nmae,r2,lf_training_time,hf_training_time,noise,mean ll
hierarchical_kriging,0.0912788841880716,0.16816939399718658,0.9971908591810935,4.72715950012207,0.2245492935180664,0.361080572071031,-0.5771578273378004
co_kriging,0.08623791426113797,0.154326255127313,0.9974925669050577,7.031872987747192,0.2660329341888428,0.35050539179474277,-0.49912877736588424
scaled_kriging,0.21627612287526202,0.471256422629034,0.9842293346456314,4.398274183273315,0.2075197696685791,1.1988581548118162,-1.4959650057766294
mf_rbf_kriging,0.12321368570910776,0.3075505614152858,0.9948814050589488,7.197938442230225,0.28289365768432617,0.4440045011635387,-0.6675958962801142
