,mkg_normalized_mae,mkg_normalized_rmse,mkg_r2,mkg_mean_log_likelihood,mkf_lf_training_time,mkg_hf_training_time,mkg_inference_time,mkg_learned_noise_std,ck_normalized_mae,ck_normalized_rmse,ck_r2,ck_mean_log_likelihood,ck_lf_training_time,ck_hf_training_time,ck_inference_time,ck_learned_noise_std,hk_normalized_mae,hk_normalized_rmse,hk_r2,hk_mean_log_likelihood,hk_lf_training_time,hk_hf_training_time,hk_inference_time,hk_learned_noise_std,sk_normalized_mae,sk_normalized_rmse,sk_r2,sk_mean_log_likelihood,sk_lf_training_time,sk_hf_training_time,sk_inference_time,sk_learned_noise_std,mkg_lf_training_time
0,0.6535622564316191,0.2525695899936997,0.9785008128638298,-0.5468659412254296,,0.1951062679290771,0.0102849006652832,0.2604100614768833,0.7035774342631059,0.2509019955294175,0.9787837730493448,-1.223395654673745,10.38187336921692,0.3560755252838135,0.0207345485687255,0.2589552638387652,2.7168608583286025,1.2697476961431065,0.4566310864963234,-2.8922305100972943,5.744882822036743,0.1316225528717041,0.0070395469665527,1.89260865744368,2.5148621329750704,1.0327234431211678,0.6405586861984093,-2.754552836928191,4.191842555999756,0.1341645717620849,0.0280351638793945,1.6756732752081705e-05,2.6335294246673584
1,0.2345063391423623,0.0390418072085606,0.999486287957548,0.57239515541805,,0.2730047702789306,0.0060021877288818,0.0903032729485692,0.210432995183733,0.0356056508301027,0.9995727345472348,0.5634931493989757,6.042524814605713,0.7396485805511475,0.0187325477600097,0.1224057829570189,0.1806208410579446,0.0370032180662973,0.9995385348466722,0.4806619539690936,4.924718618392944,0.4086847305297851,0.0166420936584472,0.1255792044314677,0.3765704995847991,0.0859282188016171,0.9975115349796464,-0.2473403911025642,4.512197732925415,0.4534263610839844,0.0144605636596679,0.025986811754545,2.14971137046814
2,0.1244975219348726,0.0253464082382712,0.999783482615376,0.6001822205401668,,0.4016361236572265,0.0040481090545654,0.1415553731630079,0.1566679735994612,0.0289120159635283,0.999718280654004,0.5959162116710526,4.703196048736572,0.9266514778137208,0.0151033401489257,0.1369800502947418,0.1344966070983897,0.0272293550686273,0.9997501181965024,0.5634224910355067,4.800649881362915,0.3993523120880127,0.0076644420623779,0.1407960401688684,0.2166983688055943,0.039083495642735,0.9994851902991144,0.3249030347455,4.044860363006592,0.4769139289855957,0.0155372619628906,0.1680119559086053,2.533433198928833
3,0.059132109617648,0.0296877991257227,0.999702959322252,0.6554458945626181,,0.4061462879180908,0.0043206214904785,0.1100832262992543,0.1186247358069686,0.0276421905205549,0.99974248363497,0.6854351935626282,4.639067888259888,1.0737924575805664,0.0145716667175292,0.1141734426094182,0.1064863750277715,0.0285488894371943,0.9997253128402032,0.6688396226519232,4.864400386810303,0.4373400211334228,0.0079286098480224,0.1110709300998721,0.3066881136729659,0.0530164334055029,0.9990527143959752,0.3465306008115264,4.073033332824707,0.5853333473205566,0.0155231952667236,0.0531985313166006,2.487411975860596
4,0.1203185190596696,0.0271599877145535,0.9997513897330916,0.6839646309045423,,0.4652268886566162,0.0046160221099853,0.1131235293027029,0.0714239889932649,0.0240893435420524,0.9998044265702828,0.7184210965332686,3.777713298797608,1.2498118877410889,0.0153126716613769,0.1080770319658036,0.0729060246216983,0.0243163163611143,0.9998007237731534,0.7176001016387397,4.650967597961426,0.4791083335876465,0.0079720020294189,0.1078228152877966,0.0765204816709075,0.0261267179350729,0.9997699460816104,0.6081234952310913,3.60878849029541,0.5642733573913574,0.0159976482391357,0.1112002320696958,2.2114078998565674
5,0.0554995744768245,0.018304199465392,0.9998870824618498,0.7675288610645221,,0.5844666957855225,0.0046191215515136,0.1109692246837039,0.0608855974332773,0.0183074787849788,0.9998870419983632,0.7622186149234601,4.239929676055908,1.4136302471160889,0.021876573562622,0.1100728624677379,0.0640186313761446,0.0182125308444192,0.999888210626542,0.7656637815035474,4.609558343887329,0.4873421192169189,0.0080783367156982,0.1084366565960582,0.107349622369329,0.0231611771744952,0.9998192071799462,0.611846522726243,3.839902877807617,0.6124289035797119,0.0151901245117187,0.1201609210674029,2.0956032276153564
6,7.278770530606208,1.949119619207293,-0.280374179596532,-83.61991975894912,,0.1557600498199463,0.0059454441070556,2.1979247577076977e-05,6.977060743387737,1.9036867202218688,-0.2213802194424661,-118.82393042344916,3.421149969100952,0.2570488452911377,0.0208299160003662,2.1979247577076977e-05,6.958369149867708,1.849902679000117,-0.1533408756304473,-103.5182913758624,4.892205476760864,0.2083303928375244,0.0078976154327392,2.1979247577076977e-05,1.613443543093999,0.5181510224444908,0.9095158230383644,-1.273558690178764,3.7592484951019287,0.1488022804260254,0.0220818519592285,3.4574237471730395e-05,1.901159286499024
7,0.1866580080401851,0.0551661113110137,0.9989743370583162,0.313088591639134,,0.2489736080169677,0.0038537979125976,0.1019623653368405,0.2193137036199706,0.0501063514145291,0.9991538536577612,0.3520158625125535,3.807564020156861,0.422616958618164,0.014115571975708,0.0963138808924827,0.328506293246722,0.0998812187202544,0.9966377686971412,-0.1232220191279749,4.59550666809082,0.2207159996032714,0.0063693523406982,0.2149400878136335,0.4633397292033731,0.0829157447629442,0.9976829578540022,0.1790028451921197,3.736083030700684,0.2306947708129882,0.014169692993164,2.773187494418552e-05,2.652137994766236
8,0.0612172747715394,0.0295201590491006,0.9997063044896582,0.5239388770820494,,0.4371135234832763,0.0041873455047607,0.1480915758421241,0.060170441141547,0.0357490293328852,0.9995692865538311,0.4661271586114342,4.099492073059082,0.8665778636932373,0.0150139331817626,0.1548019135759577,0.0617669720606228,0.0338839889452481,0.999613055227141,0.4727222543677054,4.918692111968994,0.3702445030212402,0.0076673030853271,0.146518170117334,0.1397533027689009,0.0505429492531724,0.9991390437530376,0.400814221221612,4.465949296951294,0.5263659954071045,0.0152103900909423,0.0694102106625776,1.585890769958496
9,0.1159105060269183,0.0391611545113556,0.9994831424137898,0.4448152799658065,,0.479863166809082,0.0043854713439941,0.0905334202636377,0.1386767952566962,0.0319219428322962,0.9996565697448644,0.6119033065803191,3.981243133544922,1.19159197807312,0.0143146514892578,0.0868517177250531,0.1487434600187025,0.0321977211848618,0.9996506102241672,0.6039490171126388,4.937031269073486,0.4684116840362549,0.0078349113464355,0.0840333448725034,0.1450330014600928,0.0349642785890358,0.9995879887587518,0.5598477117772308,4.095072746276856,0.5108215808868408,0.015526533126831,0.0946818132718326,2.1932623386383057
