,num_sample,problem,seed
183,8,mf_Booth,5
184,10,mf_Booth,5
185,12,mf_Booth,5
186,14,mf_Booth,5
187,16,mf_Booth,5
188,18,mf_Booth,5
189,20,mf_Booth,5
190,22,mf_Booth,5
191,24,mf_Booth,5
192,26,mf_Booth,5
193,28,mf_Booth,5
194,30,mf_Booth,5
195,32,mf_Booth,5
196,34,mf_Booth,5
197,36,mf_Booth,5
198,38,mf_Booth,5
199,40,mf_Booth,5
200,2,mf_Borehole,1
201,4,mf_Borehole,1
202,6,mf_Borehole,1
203,8,mf_Borehole,1
204,10,mf_Borehole,1
205,12,mf_Borehole,1
206,14,mf_Borehole,1
207,16,mf_Borehole,1
208,18,mf_Borehole,1
209,20,mf_Borehole,1
210,22,mf_Borehole,1
211,24,mf_Borehole,1
212,26,mf_Borehole,1
213,28,mf_Borehole,1
214,30,mf_Borehole,1
215,32,mf_Borehole,1
216,34,mf_Borehole,1
217,36,mf_Borehole,1
218,38,mf_Borehole,1
219,40,mf_Borehole,1
220,2,mf_Borehole,2
221,4,mf_Borehole,2
222,6,mf_Borehole,2
223,8,mf_Borehole,2
224,10,mf_Borehole,2
225,12,mf_Borehole,2
226,14,mf_Borehole,2
227,16,mf_Borehole,2
228,18,mf_Borehole,2
229,20,mf_Borehole,2
230,22,mf_Borehole,2
231,24,mf_Borehole,2
232,26,mf_Borehole,2
233,28,mf_Borehole,2
234,30,mf_Borehole,2
235,32,mf_Borehole,2
236,34,mf_Borehole,2
237,36,mf_Borehole,2
238,38,mf_Borehole,2
239,40,mf_Borehole,2
240,2,mf_Borehole,3
241,4,mf_Borehole,3
242,6,mf_Borehole,3
243,8,mf_Borehole,3
244,10,mf_Borehole,3
245,12,mf_Borehole,3
246,14,mf_Borehole,3
247,16,mf_Borehole,3
248,18,mf_Borehole,3
249,20,mf_Borehole,3
250,22,mf_Borehole,3
251,24,mf_Borehole,3
252,26,mf_Borehole,3
253,28,mf_Borehole,3
254,30,mf_Borehole,3
255,32,mf_Borehole,3
256,34,mf_Borehole,3
257,36,mf_Borehole,3
258,38,mf_Borehole,3
259,40,mf_Borehole,3
260,2,mf_Borehole,4
261,4,mf_Borehole,4
262,6,mf_Borehole,4
263,8,mf_Borehole,4
264,10,mf_Borehole,4
265,12,mf_Borehole,4
266,14,mf_Borehole,4
267,16,mf_Borehole,4
268,18,mf_Borehole,4
269,20,mf_Borehole,4
270,22,mf_Borehole,4
271,24,mf_Borehole,4
272,26,mf_Borehole,4
273,28,mf_Borehole,4
274,30,mf_Borehole,4
275,32,mf_Borehole,4
276,34,mf_Borehole,4
277,36,mf_Borehole,4
278,38,mf_Borehole,4
279,40,mf_Borehole,4
280,2,mf_Borehole,5
281,4,mf_Borehole,5
282,6,mf_Borehole,5
283,8,mf_Borehole,5
284,10,mf_Borehole,5
285,12,mf_Borehole,5
286,14,mf_Borehole,5
287,16,mf_Borehole,5
288,18,mf_Borehole,5
289,20,mf_Borehole,5
290,22,mf_Borehole,5
291,24,mf_Borehole,5
292,26,mf_Borehole,5
293,28,mf_Borehole,5
294,30,mf_Borehole,5
295,32,mf_Borehole,5
