,nrmse,nmae,r2,lf_time,hf_time
hierarchical_kriging,0.02275936817417398,0.09467896769582565,0.9998253561615252,0.35758280754089355,0.0182492733001709
co_kriging,0.022750919707761053,0.09462569833360016,0.9998254857959454,0.24618935585021973,0.22423553466796875
scaled_kriging,0.9723472869881604,2.214434141503538,0.6812312944191015,0.25275301933288574,0.04116010665893555
mf_rbf_kriging,0.007260479255726432,0.017530855041700887,0.9999822268894117,0.0005440711975097656,0.03390789031982422
