,normalized_mae,normalized_rmse,r2,mean_log_likelihood,lf_training_time,hf_training_time,inference_time,learned_noise_std
21240,0.0118621572935539,0.002794056389716641,0.9999774605281037,-0.6009876885661382,1319.6887352466583,2.147321939468384,0.4832935333251953,0.06262139723429347
21241,0.020109366578388098,0.004425035671167431,0.9999434663592764,-0.6987230257500473,1050.7968201637268,3.4043970108032227,0.48819494247436523,0.24726351362539542
21242,0.023142319607844464,0.005225859961028958,0.99992115231662,-0.9996157354828527,1040.306935787201,3.2756190299987793,0.4572877883911133,0.45635467013894115
21243,0.012801505825089286,0.0018265359306487501,0.9999903677035046,0.11070461529436984,1012.4105134010315,5.306135177612305,0.4545762538909912,0.0852620413779317
21244,0.026151879551030766,0.003956318894062435,0.9999548085805308,-0.6788126776861596,990.7157919406891,6.381659984588623,0.4747304916381836,0.24802383048044005
21245,0.03302253256053963,0.0053864165715567566,0.999916232939101,-1.0618839826904436,901.5935018062592,9.407186031341553,0.46684861183166504,0.4078277455163225
21246,0.00901225531663817,0.0017416291508373105,0.9999912424066969,0.38040593285180785,1085.6253838539124,10.92962908744812,0.48093199729919434,0.1333648694681518
21247,0.016961727491729597,0.0033969343839592397,0.9999666843939015,-0.4987239116588305,1036.4618797302246,9.273155927658081,0.4794628620147705,0.3409152260903283
21248,0.022744049840054688,0.004504917376965035,0.9999414068208073,-0.9260964096998469,913.239310503006,9.097058057785034,0.488861083984375,0.5404941153063336
21249,0.010182639640872782,0.0014823111300728334,0.9999936561611573,0.4763644073584878,1111.4309842586517,15.039061069488525,0.5286014080047607,0.12085960830120966
21250,0.015119325240721203,0.0028985038771083015,0.9999757438888595,-0.4384131929448541,964.2916917800903,14.119211196899414,0.522925615310669,0.3356408552943071
21251,0.022275250710967802,0.003799519853279832,0.9999583196997429,-0.8795872559992255,955.2935028076172,14.172751188278198,0.5032336711883545,0.5376842787238063
21252,0.013364632722377675,0.001537618480608188,0.9999931739324313,0.4509842053743898,1192.7393419742584,31.095083236694336,0.528529167175293,0.14093545170000163
21253,0.0239186426949369,0.0032334472179656637,0.9999698140426108,-0.4799435365484685,1231.7234840393066,21.441498279571533,0.5422298908233643,0.36222265090259914
21254,0.03188102765721919,0.0043771488470530084,0.9999446833293713,-0.9186747176168157,928.8591511249542,17.530117511749268,0.5476608276367188,0.5722954620769991
21255,0.010686642527520135,0.0013329155788438971,0.9999948704568145,0.5313990596501849,1100.8005812168121,36.91641163825989,0.5629045963287354,0.1211295919423099
21256,0.020920261648161485,0.0028965464006215453,0.9999757766400555,-0.43270981554451066,1461.7280805110931,39.49496054649353,0.5617451667785645,0.33923456737935487
21257,0.03038247766349904,0.004048616057830811,0.9999526754395194,-0.8900101697847292,1039.5824167728424,24.838140726089478,0.5664577484130859,0.54833259590536
21258,0.013360239579877227,0.0027139815440817335,0.9999787339327652,-0.381654150905227,1646.1949219703674,2.4851129055023193,0.523374080657959,0.07149017500068872
21259,0.02027900701287641,0.004335658488291409,0.9999457270366289,-0.6931492878425729,1273.5125362873077,3.0937159061431885,0.48111534118652344,0.24671140298243177
21260,0.023814033918744995,0.005368621829821235,0.9999167854960657,-1.0263871395957223,1337.5644345283508,2.932506799697876,0.5018529891967773,0.43527985353931187
21261,0.010937321677462954,0.0019774378649239513,0.9999887103859679,0.0690227860801485,1191.4278514385223,5.69227933883667,0.4829280376434326,0.08943905234539799
21262,0.026928404819501896,0.004439002890999181,0.9999431089095179,-0.7916745110249896,1506.276124238968,6.512543201446533,0.49834609031677246,0.24354117884414775
21263,0.037948269015662194,0.005986579372416113,0.9998965260823158,-1.1156930212878988,1261.5415470600128,7.753488063812256,0.49573183059692383,0.4120663165156057
21264,0.01072078810494247,0.0014149550864729075,0.9999942195890906,0.5024981327845809,1095.3093221187592,10.025952100753784,0.5183475017547607,0.13036661574679415
21265,0.020178857342737964,0.0029656138566795886,0.9999746076668692,-0.43953852881546407,1124.8276362419128,9.942793369293213,0.5040977001190186,0.3384705118938776
21266,0.027080611089057533,0.004041361732856486,0.9999528448802202,-0.8866696941990309,1237.4164464473724,9.055650472640991,0.5095601081848145,0.5347204595695866
21267,0.012152407323406902,0.0012134128508529288,0.9999957490051109,0.5779478356683856,1352.7428987026215,17.631948947906494,0.5550673007965088,0.11674988906823783
21268,0.022626825008746174,0.0026102775936628383,0.9999803280780095,-0.40179548608607785,1344.7195520401,12.850220203399658,0.5273208618164062,0.3222702538310867
21269,0.029103056307470544,0.003625237045020763,0.9999620557283273,-0.8648929912311533,1559.9428055286407,19.362257480621338,0.5424649715423584,0.5212437301361111
21270,0.012183664825639458,0.0012379455040590918,0.9999955753751266,0.5418924397562955,1667.9360966682434,24.869617462158203,0.5737898349761963,0.10543062857305506
21271,0.02303774514407344,0.0029014849548376514,0.9999756939689418,-0.45645009559225014,1205.0498535633087,17.891218423843384,0.5777239799499512,0.3041539015523932
21272,0.030440696943959115,0.004145360627998209,0.9999503867086568,-0.9131029091059555,1476.881337404251,24.471299648284912,0.5516867637634277,0.5014922013466954
21273,0.013020642591950727,0.0012653769048561248,0.9999953771137235,0.5572972809783643,1804.0788252353668,43.11934232711792,0.6184039115905762,0.11768129990147201
21274,0.029093516219936177,0.0029082599035089004,0.9999755803275688,-0.4356770005603689,1558.8367631435394,22.91890811920166,0.6187992095947266,0.32908844513359303
21275,0.04281077777987655,0.0042044139972899335,0.9999489630927326,-0.9006480671899266,1225.4221589565277,22.44814443588257,0.5976226329803467,0.5360324231092106
21276,0.014390927129681243,0.0029164960768133254,0.9999754418190085,-0.41124625156342637,1821.8050241470337,2.3920083045959473,0.5296437740325928,0.07521284108138213
21277,0.028005884438259007,0.004217637714030293,0.9999486415454497,-0.6292091722494354,1813.0780758857727,2.8415138721466064,0.5116715431213379,0.2754048388693892
21278,0.03690351087166029,0.0050135175404348205,0.9999274297732526,-0.9763996571310399,1410.052463054657,3.1952123641967773,0.4949357509613037,0.47904865914538347
21279,0.016208178382532853,0.0016968719345233875,0.9999916867366963,0.30375699401676554,1984.7620067596436,5.55432653427124,0.5242230892181396,0.09248939471774513
21280,0.03448932817684675,0.0036704688696047754,0.9999611029654462,-0.6198025418384389,2055.252097606659,7.343518018722534,1.0032525062561035,0.24869505530903774
