,progress,normalized_mae,normalized_rmse,r2,log_likelihood,learned_noise_std,cpu_time
0,finished,1.6629263722897858,0.3686021051103512,0.7570099635562333,-12055.66237678465,2.168855897483939e-05,131.76265335083008
1,finished,2.73883288737887,0.5207755771820838,0.5149639017523824,-20354.752101186383,2.2794558462903257e-05,138.8226716518402
2,finished,1.780684560805531,0.3861184651232849,0.7333669466104709,-9441.97206949073,0.7942404162077703,139.49687838554382
3,finished,1.3948377704869344,0.2509211800893904,0.8873976416349459,-7154.187713862364,0.1549840415797261,168.2105197906494
4,finished,1.3025100882752605,0.3091765682308547,0.8290433541315361,-9566.519878490624,0.318341710145278,138.90320706367493
5,finished,1.589139960813028,0.3270470911555179,0.8087094898726851,-8300.732568675126,0.752867449905309,225.231824874878
6,finished,1.5212065646253952,0.2635504438629299,0.8757774763971206,-6359.309070834582,0.2845732949445863,181.773446559906
7,finished,1.53311449324601,0.2582193911955097,0.8807521522160914,-6583.5764834216825,0.3363009911960741,73.26905965805054
8,finished,1.6833946308906014,0.2976853958875705,0.8415150956217125,-8237.904708217528,0.5932769922431245,210.5252492427826
9,finished,1.6207166598888083,0.2284028222227244,0.906701260649943,-5034.843406573963,0.2342279117627594,187.70013761520383
10,finished,1.9217145934205588,0.2592872392546689,0.8797638307574817,-6340.755948816257,0.4437587121017907,150.49236035346985
11,finished,1.851621011540569,0.3060643790622214,0.8324677507766256,-8106.549525100852,0.5740666548829885,271.71054005622864
12,finished,1.210337712016335,0.1961849022257621,0.9311658413288632,-4087.424502715083,0.157121040992017,128.07877135276794
13,finished,1.4791929601744336,0.2420543792658517,0.8952150929490917,-6192.302669274493,0.3273307609795286,289.8901057243347
14,finished,1.6550957799657515,0.2525824777573597,0.8859016714803442,-7447.811367937616,0.5832965039048138,209.1012635231018
15,finished,1.2018305333814616,0.1716615425283197,0.9472989988785332,-3036.5608522799707,0.2195550266282335,144.44089722633362
16,finished,1.1231946827178096,0.2174610589445937,0.9154262006824976,-5610.602883122348,0.3019341056597964,116.55476379394533
17,finished,1.3838931204890508,0.2474263493337402,0.8905124497849917,-7340.365847069988,0.4515554949030059,117.84150981903076
18,finished,1.249932070131582,0.1782717868656889,0.9431620927584992,-3727.5726149633874,0.1698948243856166,118.85698509216309
19,finished,1.2416793318792023,0.2182403442740506,0.9148189635750004,-5715.652879294812,0.4103878041349945,145.97073435783386
20,finished,1.1555888882987024,0.2440757924129722,0.8934576529517924,-7342.310203043549,0.5911059674718574,230.5492887496948
21,finished,1.0002981329567315,0.1609552626280615,0.953667769752598,-2738.385540906059,0.2100207428486984,133.06869626045227
22,finished,1.100309348873766,0.1946688343104752,0.932225597047494,-5012.704325520548,0.3692919185060588,135.72254943847656
23,finished,1.300465938324468,0.2347615498019089,0.9014340800703742,-6984.628571748539,0.5399759558367844,219.14215993881223
24,finished,0.986731504578133,0.1556367312776201,0.9566791423591188,-2946.936281541614,0.1713962872504332,152.30665802955627
25,finished,1.137778679457091,0.1746760685694862,0.9454317958601832,-4769.54348387601,0.3446689723290723,203.9154529571533
26,finished,0.9814173648058174,0.2103559140552723,0.9208625054123176,-6590.165749488035,0.6038225151820893,151.6195080280304
27,finished,0.7012636970590448,0.1284702014767894,0.9704826303365556,-1660.2998617534402,0.198727437863057,167.2801501750946
28,finished,0.9156737369543512,0.1581182656595522,0.955286678949608,-4282.4428003287685,0.4006758156981576,186.83263969421387
29,finished,1.5093362452617851,0.1837201654387443,0.9396348200700196,-6161.6117808553045,0.5271764093580141,181.7819619178772
30,finished,0.8826247766985359,0.1278606263382641,0.97076207828777,-1594.1748042269314,0.198302636573637,208.88795590400696
31,finished,0.9595002503409158,0.1595693430274405,0.9544622301537892,-4280.874552315823,0.3698343812910967,206.3120081424713
32,finished,1.013977647764769,0.1815526156018956,0.9410508070064456,-6114.811309566055,0.6139911843759371,175.55187034606934
33,finished,0.9267648577216644,0.1323101246601324,0.9686917350045936,-1624.8379992738878,0.1986879565337272,197.7401895523072
34,finished,1.0211636245206936,0.160928594236143,0.9536831218907244,-4234.750973536577,0.3344445090045911,222.3132240772248
35,finished,0.9805974935765795,0.1889608770827222,0.9361418053968515,-6164.892382758808,0.5464599024873917,195.8392837047577
36,finished,0.809900267126274,0.1290189526614962,0.9702299291650722,-1560.5909844539365,0.1987114665661795,213.9395532608032
37,finished,0.9981354120940028,0.1582358513863512,0.955220151489616,-4312.004766540675,0.310963331130466,271.25303173065186
38,finished,1.0754495415368557,0.1960790603609991,0.9312400934283388,-6368.01910431035,0.5414943041375677,212.9135291576385
39,finished,0.9801819825537974,0.1204866664059295,0.9740372422553122,-1138.133856013279,0.1937840682387674,262.91271352767944
40,finished,1.212002730569269,0.1560153409243479,0.956468117053444,-4262.561604950911,0.4249099062557533,169.4686222076416
41,finished,1.0868889791053395,0.1742717165135257,0.9456841398384256,-5986.124477930045,0.5416643104524747,200.0653269290924
42,finished,0.7826768266203806,0.1202768175620785,0.9741276009698258,-1250.1437461575165,0.1765790169111305,243.0448021888733
43,finished,0.9617405115431285,0.1541041458655726,0.9575281196139298,-4175.582067565629,0.3737236022099861,320.11164832115173
44,finished,1.2102354497667132,0.1690802690605549,0.9488720117969276,-6023.3438963674325,0.538946529562607,377.3688373565674
45,finished,0.724597646159355,0.1157079601094393,0.9760558558610009,-1193.104282762007,0.2035909227844569,202.34566617012024
46,finished,0.8720635001725047,0.1419817431058124,0.9639472953135064,-3881.8997448524096,0.3316222395350283,261.0741214752197
47,finished,0.810984778747589,0.1702584813355029,0.9481569726106636,-6008.327123248385,0.5523632451085252,319.9029860496521
48,finished,0.8528720784314676,0.1137771855125574,0.976848282376826,-820.3867496665113,0.1767304561010699,318.52750182151794
49,finished,1.0487804215069194,0.1455090218240617,0.9621337161382166,-3761.418941595221,0.3365419253102932,212.28910756111145
50,finished,1.1073576491911126,0.1718913952146618,0.9471577724116924,-5944.529245961161,0.5742216507153195,250.752014875412
51,finished,0.8267636793490227,0.1134058365006427,0.9769991621382867,-881.0103946140725,0.1713132530695724,360.00766944885254
