,method,num_hf,num_lf,problem,seed
98,mf_rbf,10,100,mf_Booth,3
99,mf_rbf,10,30,mf_Booth,4
100,mf_rbf,10,50,mf_Booth,4
101,mf_rbf,10,100,mf_Booth,4
102,mf_rbf,10,30,mf_Booth,5
103,mf_rbf,10,50,mf_Booth,5
104,mf_rbf,10,100,mf_Booth,5
105,mf_rbf,10,30,mf_Booth,6
106,mf_rbf,10,50,mf_Booth,6
107,mf_rbf,10,100,mf_Booth,6
108,mf_rbf,10,30,mf_Booth,7
109,mf_rbf,10,50,mf_Booth,7
110,mf_rbf,10,100,mf_Booth,7
111,mf_rbf,10,30,mf_Booth,8
112,mf_rbf,10,50,mf_Booth,8
113,mf_rbf,10,100,mf_Booth,8
114,mf_rbf,10,30,mf_Booth,9
115,mf_rbf,10,50,mf_Booth,9
116,mf_rbf,10,100,mf_Booth,9
117,mf_rbf,10,30,mf_Booth,10
118,mf_rbf,10,50,mf_Booth,10
119,mf_rbf,10,100,mf_Booth,10
120,mf_rbf,10,30,mf_Booth,11
121,mf_rbf,10,50,mf_Booth,11
122,mf_rbf,10,100,mf_Booth,11
123,mf_rbf,10,30,mf_Booth,12
124,mf_rbf,10,50,mf_Booth,12
125,mf_rbf,10,100,mf_Booth,12
126,mf_rbf,10,30,mf_Booth,13
127,mf_rbf,10,50,mf_Booth,13
128,mf_rbf,10,100,mf_Booth,13
129,mf_rbf,10,30,mf_Booth,14
130,mf_rbf,10,50,mf_Booth,14
131,mf_rbf,10,100,mf_Booth,14
132,mf_rbf,10,30,mf_Booth,15
133,mf_rbf,10,50,mf_Booth,15
134,mf_rbf,10,100,mf_Booth,15
135,mf_rbf,10,30,mf_Booth,16
136,mf_rbf,10,50,mf_Booth,16
137,mf_rbf,10,100,mf_Booth,16
138,mf_rbf,10,30,mf_Booth,17
139,mf_rbf,10,50,mf_Booth,17
140,mf_rbf,10,100,mf_Booth,17
141,mf_rbf,10,30,mf_Booth,18
142,mf_rbf,10,50,mf_Booth,18
143,mf_rbf,10,100,mf_Booth,18
144,mf_rbf,10,30,mf_Booth,19
145,mf_rbf,10,50,mf_Booth,19
146,mf_rbf,10,100,mf_Booth,19
147,mf_rbf,10,30,mf_Booth,20
148,mf_rbf,10,50,mf_Booth,20
149,mf_rbf,10,100,mf_Booth,20
150,mf_rbf,10,30,mf_Booth,21
151,mf_rbf,10,50,mf_Booth,21
152,mf_rbf,10,100,mf_Booth,21
153,mf_rbf,10,30,mf_Booth,22
154,mf_rbf,10,50,mf_Booth,22
155,mf_rbf,10,100,mf_Booth,22
156,mf_rbf,10,30,mf_Booth,23
157,mf_rbf,10,50,mf_Booth,23
158,mf_rbf,10,100,mf_Booth,23
159,mf_rbf,10,30,mf_Booth,24
160,mf_rbf,10,50,mf_Booth,24
161,mf_rbf,10,100,mf_Booth,24
162,mf_rbf,10,30,mf_Booth,25
163,mf_rbf,10,50,mf_Booth,25
164,mf_rbf,10,100,mf_Booth,25
165,mf_rbf,10,30,mf_Booth,26
166,mf_rbf,10,50,mf_Booth,26
167,mf_rbf,10,100,mf_Booth,26
168,mf_rbf,10,30,mf_Booth,27
169,mf_rbf,10,50,mf_Booth,27
170,mf_rbf,10,100,mf_Booth,27
171,mf_rbf,10,30,mf_Booth,28
172,mf_rbf,10,50,mf_Booth,28
173,mf_rbf,10,100,mf_Booth,28
174,mf_rbf,10,30,mf_Booth,29
175,mf_rbf,10,50,mf_Booth,29
176,mf_rbf,10,100,mf_Booth,29
177,mf_rbf,10,30,mf_Booth,30
178,mf_rbf,10,50,mf_Booth,30
179,mf_rbf,10,100,mf_Booth,30
180,mf_rbf,10,30,mf_Hartman3,1
181,mf_rbf,10,50,mf_Hartman3,1
182,mf_rbf,10,100,mf_Hartman3,1
183,mf_rbf,10,30,mf_Hartman3,2
184,mf_rbf,10,50,mf_Hartman3,2
185,mf_rbf,10,100,mf_Hartman3,2
186,mf_rbf,10,30,mf_Hartman3,3
187,mf_rbf,10,50,mf_Hartman3,3
188,mf_rbf,10,100,mf_Hartman3,3
189,mf_rbf,10,30,mf_Hartman3,4
190,mf_rbf,10,50,mf_Hartman3,4
191,mf_rbf,10,100,mf_Hartman3,4
192,mf_rbf,10,30,mf_Hartman3,5
193,mf_rbf,10,50,mf_Hartman3,5
194,mf_rbf,10,100,mf_Hartman3,5
195,mf_rbf,10,30,mf_Hartman3,6
196,mf_rbf,10,50,mf_Hartman3,6
197,mf_rbf,10,100,mf_Hartman3,6
198,mf_rbf,10,30,mf_Hartman3,7
199,mf_rbf,10,50,mf_Hartman3,7
200,mf_rbf,10,100,mf_Hartman3,7
201,mf_rbf,10,30,mf_Hartman3,8
202,mf_rbf,10,50,mf_Hartman3,8
203,mf_rbf,10,100,mf_Hartman3,8
204,mf_rbf,10,30,mf_Hartman3,9
205,mf_rbf,10,50,mf_Hartman3,9
206,mf_rbf,10,100,mf_Hartman3,9
207,mf_rbf,10,30,mf_Hartman3,10
208,mf_rbf,10,50,mf_Hartman3,10
209,mf_rbf,10,100,mf_Hartman3,10
210,mf_rbf,10,30,mf_Hartman3,11
211,mf_rbf,10,50,mf_Hartman3,11
212,mf_rbf,10,100,mf_Hartman3,11
213,mf_rbf,10,30,mf_Hartman3,12
214,mf_rbf,10,50,mf_Hartman3,12
215,mf_rbf,10,100,mf_Hartman3,12
216,mf_rbf,10,30,mf_Hartman3,13
217,mf_rbf,10,50,mf_Hartman3,13
218,mf_rbf,10,100,mf_Hartman3,13
219,mf_rbf,10,30,mf_Hartman3,14
220,mf_rbf,10,50,mf_Hartman3,14
221,mf_rbf,10,100,mf_Hartman3,14
222,mf_rbf,10,30,mf_Hartman3,15
223,mf_rbf,10,50,mf_Hartman3,15
224,mf_rbf,10,100,mf_Hartman3,15
225,mf_rbf,10,30,mf_Hartman3,16
226,mf_rbf,10,50,mf_Hartman3,16
227,mf_rbf,10,100,mf_Hartman3,16
228,mf_rbf,10,30,mf_Hartman3,17
229,mf_rbf,10,50,mf_Hartman3,17
230,mf_rbf,10,100,mf_Hartman3,17
231,mf_rbf,10,30,mf_Hartman3,18
232,mf_rbf,10,50,mf_Hartman3,18
233,mf_rbf,10,100,mf_Hartman3,18
234,mf_rbf,10,30,mf_Hartman3,19
235,mf_rbf,10,50,mf_Hartman3,19
236,mf_rbf,10,100,mf_Hartman3,19
237,mf_rbf,10,30,mf_Hartman3,20
238,mf_rbf,10,50,mf_Hartman3,20
239,mf_rbf,10,100,mf_Hartman3,20
240,mf_rbf,10,30,mf_Hartman3,21
241,mf_rbf,10,50,mf_Hartman3,21
242,mf_rbf,10,100,mf_Hartman3,21
243,mf_rbf,10,30,mf_Hartman3,22
244,mf_rbf,10,50,mf_Hartman3,22
245,mf_rbf,10,100,mf_Hartman3,22
246,mf_rbf,10,30,mf_Hartman3,23
247,mf_rbf,10,50,mf_Hartman3,23
248,mf_rbf,10,100,mf_Hartman3,23
249,mf_rbf,10,30,mf_Hartman3,24
250,mf_rbf,10,50,mf_Hartman3,24
251,mf_rbf,10,100,mf_Hartman3,24
252,mf_rbf,10,30,mf_Hartman3,25
253,mf_rbf,10,50,mf_Hartman3,25
254,mf_rbf,10,100,mf_Hartman3,25
255,mf_rbf,10,30,mf_Hartman3,26
256,mf_rbf,10,50,mf_Hartman3,26
257,mf_rbf,10,100,mf_Hartman3,26
258,mf_rbf,10,30,mf_Hartman3,27
259,mf_rbf,10,50,mf_Hartman3,27
260,mf_rbf,10,100,mf_Hartman3,27
261,mf_rbf,10,30,mf_Hartman3,28
262,mf_rbf,10,50,mf_Hartman3,28
263,mf_rbf,10,100,mf_Hartman3,28
264,mf_rbf,10,30,mf_Hartman3,29
265,mf_rbf,10,50,mf_Hartman3,29
266,mf_rbf,10,100,mf_Hartman3,29
267,mf_rbf,10,30,mf_Hartman3,30
268,mf_rbf,10,50,mf_Hartman3,30
269,mf_rbf,10,100,mf_Hartman3,30
270,mf_rbf,10,30,mf_Hartman6,1
271,mf_rbf,10,50,mf_Hartman6,1
272,mf_rbf,10,100,mf_Hartman6,1
273,mf_rbf,10,30,mf_Hartman6,2
274,mf_rbf,10,50,mf_Hartman6,2
275,mf_rbf,10,100,mf_Hartman6,2
276,mf_rbf,10,30,mf_Hartman6,3
277,mf_rbf,10,50,mf_Hartman6,3
278,mf_rbf,10,100,mf_Hartman6,3
279,mf_rbf,10,30,mf_Hartman6,4
280,mf_rbf,10,50,mf_Hartman6,4
281,mf_rbf,10,100,mf_Hartman6,4
282,mf_rbf,10,30,mf_Hartman6,5
283,mf_rbf,10,50,mf_Hartman6,5
284,mf_rbf,10,100,mf_Hartman6,5
285,mf_rbf,10,30,mf_Hartman6,6
286,mf_rbf,10,50,mf_Hartman6,6
287,mf_rbf,10,100,mf_Hartman6,6
288,mf_rbf,10,30,mf_Hartman6,7
289,mf_rbf,10,50,mf_Hartman6,7
290,mf_rbf,10,100,mf_Hartman6,7
291,mf_rbf,10,30,mf_Hartman6,8
292,mf_rbf,10,50,mf_Hartman6,8
293,mf_rbf,10,100,mf_Hartman6,8
294,mf_rbf,10,30,mf_Hartman6,9
295,mf_rbf,10,50,mf_Hartman6,9
296,mf_rbf,10,100,mf_Hartman6,9
297,mf_rbf,10,30,mf_Hartman6,10
298,mf_rbf,10,50,mf_Hartman6,10
299,mf_rbf,10,100,mf_Hartman6,10
300,mf_rbf,10,30,mf_Hartman6,11
301,mf_rbf,10,50,mf_Hartman6,11
302,mf_rbf,10,100,mf_Hartman6,11
303,mf_rbf,10,30,mf_Hartman6,12
304,mf_rbf,10,50,mf_Hartman6,12
305,mf_rbf,10,100,mf_Hartman6,12
306,mf_rbf,10,30,mf_Hartman6,13
307,mf_rbf,10,50,mf_Hartman6,13
308,mf_rbf,10,100,mf_Hartman6,13
309,mf_rbf,10,30,mf_Hartman6,14
310,mf_rbf,10,50,mf_Hartman6,14
311,mf_rbf,10,100,mf_Hartman6,14
312,mf_rbf,10,30,mf_Hartman6,15
313,mf_rbf,10,50,mf_Hartman6,15
314,mf_rbf,10,100,mf_Hartman6,15
315,mf_rbf,10,30,mf_Hartman6,16
316,mf_rbf,10,50,mf_Hartman6,16
317,mf_rbf,10,100,mf_Hartman6,16
318,mf_rbf,10,30,mf_Hartman6,17
319,mf_rbf,10,50,mf_Hartman6,17
320,mf_rbf,10,100,mf_Hartman6,17
321,mf_rbf,10,30,mf_Hartman6,18
322,mf_rbf,10,50,mf_Hartman6,18
323,mf_rbf,10,100,mf_Hartman6,18
324,mf_rbf,10,30,mf_Hartman6,19
325,mf_rbf,10,50,mf_Hartman6,19
326,mf_rbf,10,100,mf_Hartman6,19
