Model,Normalized RMSE,Normalized MAE,Normalized Log Likelihood,R2
BNN,1.0924788,3.9690788,-4.53589,-0.8377755481589466
Sequential MF-BNN LF1,0.21019614,0.6622942,0.79826,0.9319675743531656
MF-DNN-BNN LF1,1.0431181,2.9560425,-7.703216,-0.6754577188423867
MF-DNN-BNN LF1 Order 2,0.3196506,1.032261,0.49255997,0.8426678240242933
Sequential MF-BNN LF2,0.22348407,0.93633294,1.0006567,0.92309410651153
MF-DNN-BNN LF2,0.08548837,0.22517759,1.4982493,0.9887466828259911
Sequential MF-BNN LF3,1.3933716,4.473453,-4.7059455,-1.9895122776723473
MF-DNN-BNN LF3,1.0607867,3.61003,-5.113898,-0.7326968661742392
