,progress,normalized_mae,normalized_rmse,r2,cpu_time
9231,finished,2.8654707413956912,0.5884354028939383,0.8178355351521579,3.846922397613525
9232,finished,1.010520201361988,0.2413019307836999,0.9693671313786736,3.483617782592773
9233,finished,0.4933482383095468,0.1100223740541141,0.9936316327804814,4.441667318344116
9234,finished,0.2990996260723275,0.0408305883567194,0.9991229237512278,4.766000032424927
9235,finished,0.0532530422799244,0.010599905076285,0.9999408887658752,4.349863052368164
9236,finished,0.1424230031649012,0.0252820361866335,0.9996637284144414,3.569491386413574
9237,finished,0.0298477590996041,0.0041655300930691,0.9999908713485112,5.642585039138794
9238,finished,0.0191450375754054,0.0043218131692578,0.9999901735182596,4.288437604904175
9239,finished,0.0262687401251278,0.0045759980126777,0.999988983649915,5.07109260559082
9240,finished,2.2822988770144303,0.9587105435719256,0.516450340660354,3.431459665298462
9241,finished,2.860787687265574,0.587539357602575,0.8183898978979193,3.0849430561065674
9242,finished,1.0132252437549725,0.2430327902599739,0.9689260959394046,3.444437026977539
9243,finished,0.4809505317158848,0.1094797628149531,0.9936942932452768,3.592758655548096
9244,finished,0.495689737711345,0.1735618974095326,0.9841519857526756,5.260378122329712
9245,finished,0.0630524960332787,0.0114229133619479,0.9999313532722466,4.505158424377441
9246,finished,0.1534613745006788,0.0264829671835498,0.999631022945883,5.121712684631348
9247,finished,0.0383779392120615,0.0064210993409453,0.9999783087363884,5.47005820274353
9248,finished,0.0195805888410485,0.004302490427558,0.9999902611898448,7.1045310497283936
9249,finished,0.018663753181346,0.002636345266211,0.999996343457315,5.628756046295166
9250,finished,2.2979478815460466,0.9579856870863632,0.5171812632634785,5.126456737518311
9251,finished,2.863335001809149,0.5883679950124707,0.8178772682541038,4.160029888153076
9252,finished,1.0138813118905856,0.2421081233177101,0.969162099908837,4.406555652618408
9253,finished,0.5004057794234656,0.1104277388551291,0.9935846192966326,4.848938703536987
9254,finished,0.2578465135107378,0.0314042058379305,0.9994811501387172,4.719981670379639
9255,finished,0.0462929723876684,0.0072300002867726,0.9999724993661716,5.512089014053345
9256,finished,0.1280500962551958,0.0212760991026753,0.9997618502754336,5.8840203285217285
9257,finished,0.0329305958318319,0.0042320716462699,0.9999905773708826,6.325026988983154
9258,finished,0.0190207407955854,0.003494887460501,0.9999935741221544,5.6401448249816895
9259,finished,0.0108784414262347,0.0021663506697291,0.9999975309857876,6.233227252960205
9260,finished,2.2880907976297054,0.9584536648889814,0.5167094323318719,4.594937086105347
9261,finished,2.863420166447727,0.5881252750712554,0.8180274997459338,4.787036657333374
9262,finished,0.6092478910054328,0.1503167685517867,0.9881127625957756,5.341288328170776
9263,finished,0.4954788415662875,0.1100253424453842,0.993631289140184,5.719356060028076
9264,finished,0.2830495883094621,0.0358022767744092,0.9993256468885772,5.535856246948242
9265,finished,0.062716392037255,0.0109819558320602,0.9999365509009276,6.533729791641235
9266,finished,0.1336371708677054,0.0227435912772675,0.9997278651519684,5.568312168121338
9267,finished,0.0247219237041636,0.0037857466508558,0.99999246003781,7.184370994567871
9268,finished,0.019600096394687,0.0028032654342926,0.9999958657711016,6.6386706829071045
9269,finished,0.006539115159766,0.0012130352830999,0.9999992258717064,7.393279075622559
9270,finished,2.2964927003862443,0.9589409666830294,0.5162178734000873,6.050749063491821
9271,finished,2.865092292468772,0.588591054693172,0.8177391508194911,5.215375900268555
9272,finished,1.0169175058274242,0.242174401428427,0.9691452135897118,5.202545881271362
9273,finished,0.496458518508956,0.1100728436909524,0.9936257888255176,5.916879653930664
9274,finished,0.1686853662480168,0.0205396844102898,0.9997780507880888,6.454155206680298
9275,finished,0.0563098331885066,0.0088257146275412,0.9999590205772992,5.76592493057251
9276,finished,0.6855831230400742,0.1395561375893616,0.9897537733851052,6.601470708847046
9277,finished,0.0252712685877226,0.0035869008827656,0.999993231306851,7.052172660827637
9278,finished,0.0136686680089108,0.0026442731567507,0.9999963214326908,8.180554389953613
9279,finished,0.008855836158881,0.0013877473809394,0.9999989868193028,6.720376253128052
9280,finished,2.289270278987695,0.958702828324142,0.5164581233857051,5.571746826171875
9281,finished,2.865415166104565,0.5885424525566748,0.8177692494792292,5.423357009887695
9282,finished,1.0136414563329903,0.2420116031913533,0.9691866830138004,5.060314416885376
9283,finished,0.4961456071455125,0.1100546108899417,0.9936279003381224,7.144888401031494
9284,finished,0.2429005522716364,0.0313467267529274,0.9994830477012868,6.68576455116272
9285,finished,0.0979159325448037,0.016394029846823,0.9998586038718712,7.039149522781372
9286,finished,0.1068298686650432,0.0194749436141556,0.9998004652724808,7.23261022567749
9287,finished,0.049016022150043,0.0067434908043599,0.9999760758997452,8.050968170166016
9288,finished,0.0065881534560526,0.0013252162608906,0.9999990760688982,7.62271785736084
9289,finished,0.0051698936649516,0.0008520704010843,0.9999996180407492,7.394590139389038
