,nrmse,nmae,r2,lf_training_time,hf_training_time
linear_without_bias,0.007246057149893062,0.017524770503425515,0.9999822974277583,0.0012660026550292969,0.06991028785705566
linear,0.007260479255726432,0.017530855041700887,0.9999822268894117,0.006523847579956055,0.05598115921020508
quadratic,1.132083543869476,2.373799733843675,0.5678944740524126,0.0033228397369384766,0.09922647476196289
cubic,1.1262889098941213,2.285151882785765,0.5723066664473351,0.010998010635375977,0.17650341987609863
