,progress,normalized_mae,normalized_rmse,r2,log_likelihood,learned_noise_std,cpu_time
0,finished,1.5740057986679268,0.5562744737428075,0.8386578998846783,-6246.504850434888,2.664556762451918,7.534064292907715
1,finished,2.194431037468496,0.5743982556185636,0.8279733756903432,-6339.659764323352,2.712408998877857,5.564244508743286
2,finished,3.2758587244616977,0.6881178605367448,0.7531147731561377,-16281.244843347708,0.0001001027510354,5.74342679977417
3,finished,0.6355875762497892,0.129315842521071,0.9912808748786588,-4316.193949527966,0.0985836712612289,6.494508266448975
4,finished,0.8387932802768326,0.1490440191000248,0.9884176002768144,-3439.367452688409,0.2725847976906411,8.978960990905762
5,finished,1.8095028947525056,0.315418749367317,0.9481266311720268,-4264.151848610185,0.778457567859036,4.617610931396484
6,finished,0.5314520187912922,0.0522958482680845,0.9985740514157364,-558.8794827889615,0.1298225723777447,8.932746410369873
7,finished,1.025798022533326,0.1324253592237702,0.9908565148905174,-2974.6364965682124,0.8044449806742897,7.253809452056885
8,finished,1.1840577767335865,0.1284585492219898,0.99139609773643,-3855.934746788909,0.3178591778078778,9.570534229278564
9,finished,0.5287281774510504,0.0760870004232974,0.9969815056375536,-1506.4202433077717,0.2753397532008583,7.702783584594727
10,finished,0.7633941526126891,0.1057871891512495,0.9941650707021608,-2829.1623829934097,0.3947427234590519,7.648137807846069
11,finished,0.7281325505083359,0.1108675540890919,0.9935911755526456,-2906.5221871887293,0.612740006498232,7.591450691223144
12,finished,0.2420121456686987,0.0266648358020747,0.9996292789299612,324.86411285436327,0.1486146714550592,8.426841497421265
13,finished,0.5462837650094701,0.0703197871448696,0.997421752902449,-2129.668273626457,0.6477240348560416,7.593523740768433
14,finished,0.423967950605035,0.0729483955982143,0.9972253964871504,-2479.4999784974207,0.4930584087612669,13.145123958587646
15,finished,0.5456227104807078,0.052878598457164,0.9985420947027795,-569.9292568678852,0.2067067809050212,11.21953058242798
16,finished,0.3547381636747219,0.0557558066289591,0.998379124532977,-1753.5839873315554,0.5043773013267732,7.121337652206421
17,finished,0.3925071057314528,0.0783568172157604,0.996798724752684,-2514.2423591774595,0.7067872559164178,10.281983137130736
18,finished,0.7373536715438218,0.0902919588215388,0.9957492301430236,-2054.33137038446,0.3576031623224084,9.96145749092102
19,finished,0.5859712113015698,0.0578174406306279,0.9982570410097922,-1233.9823534175362,0.306455785160799,12.46066927909851
20,finished,1.7103401029152967,0.1613820840514544,0.9864206156211384,-3178.3770076497594,0.5953064674974301,9.336783409118652
21,finished,0.4415660535108962,0.0344420809022114,0.9993814878893944,126.67923130439203,0.1722664743405989,10.77865481376648
22,finished,0.6992552548546103,0.0695563308025563,0.9974774326452476,-1842.1357825911568,0.2675396229492719,7.378212213516235
23,finished,0.3209548674803499,0.0646529919454939,0.9978205510662316,-2324.7488834920027,0.7597448886926543,7.778262615203857
24,finished,0.625549982684321,0.0534448603229913,0.998510702929128,-527.3836518440578,0.1960594682393721,10.638836860656738
25,finished,0.5470524176431828,0.0665796044212133,0.9976887237131884,-1846.339462136943,0.4500085113443648,10.920986890792848
26,finished,0.8150835855438646,0.0760743419494651,0.9969825099182652,-2393.8698098827576,0.6202370059216156,7.333319902420044
27,finished,0.1440933933685502,0.0201941638554851,0.9997873716377076,622.7038093582929,0.1147296130822334,15.955984592437744
28,finished,0.3776129296581416,0.0372321373086517,0.9992772212465122,-1108.6449221049202,0.3582460170432845,11.368711471557615
29,finished,0.37962866050493,0.0574643187038039,0.9982782663531192,-2102.260451105697,0.424562532009071,9.77639937400818
30,finished,0.2208285329066783,0.0242447837199027,0.999693517225106,478.1295991328624,0.1524222957218303,12.9621102809906
31,finished,0.2194741768784781,0.0549870556653424,0.9984235130728994,-1710.574025476238,0.53880319294705,11.349108934402466
32,finished,0.4029511195421709,0.0619657055379351,0.9979979623504752,-2266.1702657243163,0.6647730729447169,12.88817811012268
33,finished,0.0995598207878228,0.0128534394696006,0.999913859347742,976.3125654531189,0.1305289468458461,15.125619411468506
34,finished,0.41278157784679,0.0646511816415071,0.997820673115026,-1895.090373443904,0.5379267125473389,12.220548629760742
35,finished,0.2193252536395933,0.0328149698536236,0.999438546928812,-1804.6373211335056,0.61654138827207,13.041408777236938
36,finished,0.3051199384684,0.0255087752059873,0.9996607275024754,332.27610383130184,0.1795175273116794,15.081973791122437
37,finished,0.4843440519599583,0.0338807042923582,0.9994014860162164,-920.6952885458944,0.3312287389506453,10.052312135696411
38,finished,0.3278443740957238,0.0435187476371418,0.9990125338423692,-1959.1693987451995,0.520287285747002,11.03483247756958
39,finished,0.2750035823999501,0.0243119775623972,0.999691816051518,253.54149238250324,0.1807635196091003,13.341792345046995
40,finished,0.5146661573262477,0.0336460736746846,0.9994097469692752,-939.1823548555304,0.2910552094642529,12.132694482803345
41,finished,0.2025492918374536,0.0573087055955895,0.998287578620677,-2195.497878645625,0.5701071334694617,12.264586925506592
42,finished,0.2499067891575855,0.0173610509978963,0.9998428474370402,1173.668427089946,0.1229246644920622,14.461260795593262
43,finished,0.3955303025591866,0.0519106873566446,0.9985949783979988,-1597.6555714432902,0.4580598458582944,13.07668161392212
44,finished,0.5712432542367756,0.0691872251720112,0.9975041339776924,-2369.703090178636,0.6549554523624693,14.3340802192688
45,finished,0.1216432023160272,0.0135444785517498,0.9999043480072674,964.2238068751552,0.1400320356588051,19.77923893928528
46,finished,0.3410648928708101,0.0550221241175448,0.99842150159638,-1738.961756151251,0.4982637614659214,13.24592900276184
47,finished,0.5080696740756945,0.0392117791388288,0.9991983172513186,-1785.652914214072,0.5615705071315253,19.807655572891235
48,finished,0.4213974967280694,0.0415293231237836,0.9991007526886864,-747.8378788180703,0.1914242807486268,15.883000612258911
49,finished,0.2670202436525131,0.0300590736533067,0.9995288918388656,-925.6925131700352,0.3185843109832116,13.855767488479614
50,finished,0.2718217590848827,0.0503415099269978,0.9986786376822496,-2059.5116672931053,0.7098905438135067,14.242908239364624
51,finished,0.2635756300958852,0.0215336133604621,0.9997582295245864,707.8608533867344,0.121926702875774,13.911051034927368
52,finished,0.2180869175862155,0.0268052258855632,0.9996253649683652,-879.9484614929555,0.3217173280174112,14.755459785461426
53,finished,0.2764798349597149,0.0599337544227772,0.998127109397273,-2268.335206013475,0.7016144733923165,14.641939878463743
54,finished,0.1370773811593708,0.0143105935924633,0.9998932212729316,1058.729000186849,0.110669830257403,22.76228618621826
55,finished,0.2231682800142478,0.0273198533820183,0.9996108418132884,-938.3766934997144,0.2898955324000432,16.40813112258911
56,finished,0.349569879835982,0.0485064870056817,0.9987732132177728,-2012.58888657886,0.6640318519526216,14.487554550170898
57,finished,0.2134103502324869,0.0226784691963778,0.9997318381982334,377.4438893681379,0.1359655172948199,18.107521533966064
58,finished,0.656989430034694,0.0394560746785814,0.9991882969153628,-1139.4678270670483,0.3577743242234681,20.905051469802856
59,finished,0.2988058739307561,0.0531685676741328,0.9985260614955512,-2091.644423301537,0.6285942351275852,18.22127056121826
60,finished,1.5885613001059138,0.5638934668151403,0.8342080008199897,-6234.858625430518,2.7568511718154625,9.144884824752808
61,finished,1.6584055445528267,0.5719824912940307,0.8294173281324959,-6246.005368559661,2.7902398780798223,11.326321363449097
62,finished,1.843870890745521,0.5986370871034754,0.813148460442998,-6609.35081476922,2.561640760934844,5.169739723205566
63,finished,0.9015819413957548,0.1607208448000786,0.9865316666897334,-9426.71485786344,0.0188927950332638,10.50165343284607
64,finished,0.6628240114508452,0.1013420433279752,0.9946451321726052,-2778.4919022566746,0.2849724670550172,12.260240316390991
65,finished,0.8805006906522368,0.1937351945005277,0.9804301954273524,-3482.988044948904,0.6765931802214572,11.331686973571776
66,finished,0.4162053012193031,0.0438777839071318,0.9989961731392756,-147.23581033658346,0.070486373049047,10.911255598068236
67,finished,0.9497665706484338,0.0957172960503446,0.9952230545079724,-2123.435700813221,0.5126184429555269,8.403604984283447
68,finished,1.49306487502521,0.1757023134556398,0.983903761357698,-4174.396885395255,0.5335573332608923,9.090412378311155
69,finished,0.5659543587455058,0.0515722116908329,0.9986132411188392,-937.763558794678,0.1762339239111703,9.355385780334473
70,finished,0.7824554423634617,0.1135377571178576,0.9932787497758494,-2672.4954089369003,0.4279146753612913,11.66539430618286
71,finished,0.9213933252324856,0.1148329318057786,0.993124530679924,-3156.037742633091,0.6602844504431211,9.919078826904297
72,finished,0.3650170613657063,0.0400458213853907,0.9991638506538448,-18.88499021432994,0.1595982043988445,11.94423246383667
73,finished,0.8572901258340896,0.0730725537778343,0.9972159436985242,-1641.787081832547,0.3595353210115496,11.343745231628418
74,finished,0.4891046898699375,0.0731814276670246,0.9972076413515948,-2489.9291529128795,0.8424236672084044,10.792049407958984
75,finished,0.4932120545526507,0.0370175743343928,0.9992855277642084,-89.89124263436233,0.2093132726939058,9.479238510131836
76,finished,0.7223569256283294,0.0664363982820507,0.9976986556734097,-1827.5742046444548,0.4849053891254556,9.407297134399414
77,finished,0.5402887847239646,0.0788953731435288,0.9967545680174034,-2491.757545394819,0.7389030137054614,9.686368703842165
78,finished,0.8427301291211454,0.0688666051057127,0.9975272125321356,-1166.2469235589824,0.1995636104777884,10.053783893585203
