,method,seed
0,dnn_lr_bnn,1
1,dnn_lr_bnn,2
2,dnn_lr_bnn,3
3,dnn_lr_bnn,4
4,dnn_lr_bnn,5
5,dnn_lr_bnn,6
6,dnn_lr_bnn,7
7,dnn_lr_bnn,8
8,dnn_lr_bnn,9
9,dnn_lr_bnn,10
