,nmae,nrmse,r2,log_likelihood,lf_nmae,lf_nrmse,lf_re,beta_0,beta_1
0,0.4846663177013397,0.0863933116197586,0.8080304180654352,-18.507762908935547,0.3375599086284637,0.0712630674242973,0.8743275289577255,59.64215284582501,1.2517825022780231
1,0.5627935528755188,0.0860846936702728,0.8093995019485876,-17.939228057861328,0.3406061232089996,0.0708246752619743,0.8758689536533795,66.95816350859735,1.248748031623092
2,0.5774497389793396,0.0848847925662994,0.8146759010425686,-16.355106353759766,0.3667489290237427,0.0714994519948959,0.8734923894237734,62.60571966048558,1.2507257605918298
3,0.4325429201126098,0.0845401585102081,0.8161776402745005,-16.907146453857422,0.3410565555095672,0.0708697587251663,0.8757108619783439,60.58356323052698,1.2517700084568295
4,0.4511839747428894,0.08436248451471329,0.8169495232216437,-17.753273010253906,0.3717304766178131,0.07087400555610657,0.8756959713917686,58.09047650311796,1.253035123957306
5,0.7957602739334106,0.0860439613461494,0.8095798756204149,-17.374378204345703,0.379775732755661,0.0713883563876152,0.8738852149370344,67.84965020201045,1.2488596232560374
6,0.4081693291664123,0.0841966718435287,0.8176683254868267,-15.87178897857666,0.3775611519813537,0.0712021812796592,0.8745421599838152,54.47303363393586,1.249526214120172
7,0.4953913390636444,0.084357276558876,0.8169721168424074,-16.84361457824707,0.4054673314094543,0.0708813890814781,0.8756700623428125,62.05535904058294,1.2505192885149727
8,0.4236046373844147,0.0847567394375801,0.8152346231450786,-17.322689056396484,0.3417248427867889,0.071063682436943,0.8750297664382797,57.39437935651214,1.2520837983159667
9,0.4815773665904999,0.0853810459375381,0.8125026274300344,-18.66860008239746,0.3250120878219604,0.0708189085125923,0.8758891765096227,71.2396614717464,1.2469929518632503
