,nmae,nrmse,r2,log_likelihood,lf_nmae,lf_nrmse,lf_re,beta_0,beta_1
0,3.049362897872925,0.7310302257537842,-0.495925684175128,-4.950764179229736,0.0,0.0,0.0,0.0,0.0
1,3.449570178985596,0.7829133868217468,-0.7158002099437277,-5.86018180847168,0.0,0.0,0.0,0.0,0.0
2,3.6091740131378174,0.7657076716423035,-0.6412144874210961,-5.741780757904053,0.0,0.0,0.0,0.0,0.0
3,3.4401025772094727,0.7582114338874817,-0.6092369941238216,-5.1016926765441895,0.0,0.0,0.0,0.0,0.0
4,3.6930627822875977,0.7997985482215881,-0.7906080073694601,-5.628401756286621,0.0,0.0,0.0,0.0,0.0
5,3.703679084777832,0.7903715968132019,-0.7486464207465788,-5.6536054611206055,0.0,0.0,0.0,0.0,0.0
6,3.644235134124756,0.7572737336158752,-0.6052590872894883,-5.216149806976318,0.0,0.0,0.0,0.0,0.0
7,3.085402488708496,0.7525375485420227,-0.5852418249724649,-5.05971097946167,0.0,0.0,0.0,0.0,0.0
8,3.0851049423217773,0.7182431817054749,-0.4440503111702827,-4.499282360076904,0.0,0.0,0.0,0.0,0.0
9,3.358384132385254,0.7358909845352173,-0.5158849251195876,-5.205638885498047,0.0,0.0,0.0,0.0,0.0
10,0.5505755543708801,0.0963527411222457,0.9740123216851704,1.3342057466506958,0.9379056692123412,0.2145786136388778,0.97008218091535,0.0,0.0
11,0.5861355662345886,0.1125147268176078,0.9645629043200322,1.2779452800750732,0.961596429347992,0.2139752358198166,0.970250201431668,0.0,0.0
12,0.7885234951972961,0.1161376014351844,0.9622440805989946,1.255068302154541,0.9593685269355774,0.2140041887760162,0.9702421514355596,0.0,0.0
13,0.5312402844429016,0.1148126423358917,0.9631006496196952,1.261975884437561,0.921290934085846,0.2134550958871841,0.9703946626069886,0.0,0.0
14,0.6143823266029358,0.1133424565196037,0.9640395969809366,1.2753779888153076,0.9376650452613832,0.2145942747592926,0.970077825948892,0.0,0.0
15,0.8149752020835876,0.1081055626273155,0.9672858694504328,1.3135240077972412,0.9579423069953918,0.2133660316467285,0.9704193563824264,0.0,0.0
16,0.733859658241272,0.1053266078233718,0.968946142848726,1.31065833568573,0.9424333572387696,0.2140386700630188,0.970232559943832,0.0,0.0
17,0.6880513429641724,0.1181556433439254,0.9609205657758436,1.2561416625976562,0.9320354461669922,0.2136479765176773,0.9703411251487392,0.0,0.0
18,0.7067632079124451,0.1161678433418273,0.9622244249506986,1.281095266342163,0.9048264026641846,0.2139387875795364,0.9702603333739386,0.0,0.0
19,1.2100164890289309,0.1140575483441352,0.9635844101680128,1.2802424430847168,0.9378021955490112,0.2144545614719391,0.9701167608701012,0.0,0.0
20,0.6305786967277527,0.090145044028759,0.9772530566668488,1.3767670392990112,0.9422045946121216,0.2137736827135086,0.9703062196181544,0.4127589111901409,0.8583409016167244
21,0.4833225607872009,0.0656400173902511,0.9879391838174192,1.4485634565353394,0.9994444847106934,0.217204749584198,0.9693454018562006,0.4051017513069717,0.8564688843358866
22,0.968506157398224,0.1035624891519546,0.969977681722999,1.349529266357422,0.976245641708374,0.2203816473484039,0.9684421182813154,0.4012153873571388,0.8524160849025569
23,0.6796249747276306,0.1114383563399314,0.9652376815899388,1.286234974861145,0.9313238859176636,0.2136017680168151,0.9703539604264768,0.4121953281725872,0.8577666186360176
24,0.4489452838897705,0.0754515752196312,0.984064124054491,1.4107424020767212,0.9355270266532898,0.2143155634403228,0.9701554915481596,0.4123387515425317,0.8620160855854782
25,0.5920478105545044,0.0842339918017387,0.980138410518911,1.387433648109436,0.9497183561325072,0.2134885191917419,0.9703853916091328,0.4124047189445667,0.8581851233989859
26,0.8356630802154541,0.0950438901782035,0.974713557591408,1.3534260988235474,0.954846203327179,0.2138013541698455,0.9702985345604282,0.4131033135915543,0.857426881732364
27,0.4937510192394256,0.0999511703848838,0.9720349850378442,1.336130976676941,0.9535120129585266,0.2140197902917862,0.970237808886957,0.4126242309235252,0.8548184649298676
28,0.7772545218467712,0.10219822824001312,0.9707634472234078,1.3512051105499268,0.9467182159423828,0.21402566134929657,0.9702361763373224,0.41285206187575757,0.8612337298828998
29,0.9529772400856018,0.0813042595982551,0.9814959884061502,1.4113640785217283,0.9507883787155152,0.2144105434417724,0.9701290324519714,0.4124335201574771,0.8570039046383482
