,progress,mae,mse,r2,cpu_time
232,finished,4.8616300662224606e-05,5.959011765349717e-09,0.9999999997016068,0.1015570163726806
233,finished,9.02030241365065e-05,5.33411772765557e-08,0.9999999973289788,0.0714972019195556
234,finished,5.4970465925381925e-05,6.993856418166712e-08,0.9999999964978766,0.2284357547760009
235,finished,2.245614308224365e-05,1.140207451635993e-09,0.9999999999429048,0.1641347408294677
236,finished,3.5631423762768594e-05,1.9037794079328893e-08,0.999999999046696,0.103053331375122
237,finished,4.4018512571981066e-05,2.9060717686130824e-08,0.9999999985448054,0.218808889389038
238,finished,0.3053720058312217,0.1267532054345652,0.9936529241865224,0.0524942874908447
239,finished,1.850736660710787e-05,1.589678572305996e-09,0.999999999920398,0.2399110794067382
240,finished,3.1076323320318244,24.4316213806372,-0.2512481315779094,0.00411057472229
241,finished,3.8203674559303975,36.44857292370472,-0.8666877674197679,0.0126502513885498
242,finished,2.809616074371966,25.68830160281828,-0.3156081163491691,0.0252320766448974
243,finished,2.791870851297636,20.005200780477825,-0.0245521452887289,0.0027847290039062
244,finished,2.521597181258449,13.753044891933754,0.2956475767024836,0.0035700798034667
245,finished,2.904954280056852,15.02211796871173,0.2306529006875406,0.0035512447357177
246,finished,0.0077547158433733,0.0012407139192942,0.9999364577180878,0.0422306060791015
247,finished,0.0046316169145655,0.0005798674065988,0.9999703025027376,0.0601799488067626
248,finished,0.0006646139951998,4.288831711898748e-06,0.9999997803505308,0.1069271564483642
249,finished,0.0001653356560435,2.5249251672847706e-07,0.9999999870687752,0.1250448226928711
250,finished,2.4088666769250127,9.045096205365084,0.5367618239256486,0.0326132774353027
251,finished,0.0001138013109237,2.4259275013136054e-07,0.9999999875757848,0.0919382572174072
252,finished,5.425836429766389e-05,1.8833024694658773e-08,0.99999999903548,0.2342796325683593
253,finished,4.841051664269935e-05,3.516295985838288e-08,0.999999998199154,0.1558408737182617
254,finished,0.0008147603953261,1.280309880109562e-06,0.999999934429839,0.1978425979614257
255,finished,8.396968651020462e-05,2.2098581901470322e-07,0.9999999886823684,0.0762207508087158
256,finished,2.4665136379722303e-05,3.239012284032674e-09,0.9999999998341162,0.2058756351470947
257,finished,2.237908257151002e-05,4.231536092018406e-09,0.9999999997832848,0.1960799694061279
258,finished,1.0939494209097993,2.240261308749497,0.8852666086647589,0.0839741230010986
259,finished,3.606200232472324e-05,1.8921561225367563e-08,0.9999999990309456,0.1400864124298095
260,finished,2.617939119862742,20.2473781848033,-0.0308116714035102,0.0046770572662353
261,finished,2.491343122671174,20.518487511916693,-0.044614083551103,0.0036580562591552
262,finished,1.0207324642226898,1.8883708890903828,0.9038613920950032,0.0065658092498779
263,finished,0.1800998314004717,0.1149402537453155,0.994148291497628,0.0121514797210693
264,finished,0.0543011191672958,0.0420891156307692,0.9978572064375322,0.0130736827850341
265,finished,2.941549701176444,12.625765229172128,0.3572112873162258,0.0036005973815917
266,finished,0.001568565355227,1.3879642099953528e-05,0.9999992933753228,0.0673913955688476
267,finished,0.0005760505911268,3.054689596429522e-06,0.99999984448309,0.0870764255523681
268,finished,0.0005529578033151,1.4599066344866686e-06,0.9999999256748808,0.1898145675659179
269,finished,1.1155216809902333,2.4640176263571214,0.8745547149556752,0.0973367691040039
270,finished,0.0001081254328155,1.2729422130689805e-07,0.9999999935193402,0.1710410118103027
271,finished,0.0001800564643858,6.497989716041271e-07,0.999999966918168,0.1594610214233398
272,finished,0.0001316339772616,1.4284765769149092e-07,0.9999999927275012,0.2196338176727295
273,finished,6.001326893987534e-05,4.167281068363944e-08,0.9999999978784008,0.1159732341766357
274,finished,5.5215443207262414e-05,2.0838885653544025e-08,0.9999999989390742,0.1308505535125732
275,finished,3.649134998731208e-05,2.449708769140593e-08,0.999999998752832,0.1995339393615722
276,finished,3.554220501845702e-05,2.3440280779569625e-08,0.9999999988066348,0.0946133136749267
277,finished,0.0001596533525046,9.53428737788972e-07,0.999999951460112,0.0456211566925048
278,finished,5.441975220083749e-05,4.3200633247719705e-08,0.999999997800618,0.0576822757720947
279,finished,1.8795316627549285e-05,1.6189798657250927e-09,0.9999999999175764,0.1062147617340087
280,finished,3.14131629607488,24.424096735356592,-0.2173675043442469,0.004077672958374
281,finished,2.64890607494115,17.943018075912413,0.1056681697523463,0.0036845207214355
282,finished,1.7812732710831012,8.30185802665558,0.5862114248548729,0.0138547420501708
283,finished,3.0598945468614103,13.87145131673592,0.3086068134244564,0.0178935527801513
284,finished,0.0566763591133235,0.0211690573611163,0.9989448730567908,0.0072381496429443
285,finished,0.0291639977544192,0.0116508974763829,0.9994192856285382,0.0543994903564453
286,finished,2.9551706964041062,14.407722558592232,0.2818775062806165,0.0038471221923828
287,finished,0.0007384096065709,7.936513685983368e-06,0.9999996044212416,0.1257495880126953
288,finished,0.9777840040769988,1.898751676713955,0.9053607339056844,0.1540672779083252
289,finished,0.0003828225269883,1.9567472183295333e-06,0.9999999024700686,0.0775580406188964
290,finished,0.0001306983998079,1.821346152157671e-07,0.9999999909218849,0.1861889362335205
291,finished,0.0586207535361293,0.0063402766566028,0.999683982304282,0.0351440906524658
292,finished,0.0001889913716039,2.2671601304799881e-07,0.9999999886998192,0.1781530380249023
293,finished,0.9959227873270794,1.8108727488917504,0.909740873413259,0.0959203243255615
294,finished,5.2061105583379145e-05,8.104394355141846e-08,0.9999999959605358,0.2315821647644043
295,finished,3.143356674764801e-05,5.600234602092199e-09,0.9999999997208682,0.1657421588897705
296,finished,2.205532330796998e-05,2.180792641112554e-09,0.999999999891303,0.2550077438354492
297,finished,7.0909257837445e-05,2.139809152117416e-08,0.9999999989334574,0.2075514793395996
298,finished,2.0196585983240963e-05,1.255326400920741e-09,0.9999999999374308,0.1765673160552978
299,finished,3.1591247187953138,16.74320107822747,0.1654705133136178,0.0454676151275634
300,finished,3.005556381896948,23.55251141955552,-0.1875751089397228,0.0040488243103027
301,finished,3.649798654839441,43.93827450643823,-1.215475038058237,0.0366444587707519
302,finished,2.1509788801946588,17.920861657843645,0.0963864168669189,0.0027527809143066
303,finished,1.6808233305592153,13.949837056979892,0.2966151690779257,0.0144026279449462
304,finished,0.0709707723551252,0.0273612904525092,0.998620376956366,0.0340163707733154
305,finished,0.0076273892378065,0.0003708249563073,0.9999813021006532,0.1124351024627685
306,finished,2.934129026860428,14.340729379134473,0.276905424168048,0.0340027809143066
