,nrmse,nmae,r2,nll,cpu_time,noise,beta
gpr,0.4449614003240357,2.7081060727536532,0.9332459619574547,-792.8349970840663,1.261967420578003,0.270319079688552,[[0.53485569]]
mfrbfgp1a,0.047042467570860405,0.11488895837353298,0.9992538724885381,-311.7984724998968,3.7488958835601807,0.3183921735487271,"[[1.95914082]
 [0.99871033]]"
mfrbfgp1b,0.20974639707632395,1.1606011572433195,0.9851672429187522,-761.6631172606287,5.02969765663147,0.24281911165726838,"[[3.51948195]
 [1.6107226 ]]"
mfrbfgp1c,0.40640954601394685,2.570353264058854,0.9443121224089275,-1236.5619755456037,8.231696367263794,0.24676844645836907,"[[ 1.26735603]
 [-0.57876153]]"
