,mse,mae,r2,logp,noise
noise_0.3,0.2120588201572426,1.02856421423274,0.984838382119445,-589.1234422179461,0.28851118263263664
noise_0.5,0.20075710356201645,1.0225352049897123,0.9864114002166988,-556.8966109542537,0.2884083820053948
noise_1.0,0.1929336864589387,1.0418083700119272,0.987449847861124,-545.5447873740097,0.28546494835625147
