,nrmse,nmae,r2,cpu_time
linear_without_bias,0.023746693243607776,0.09852850259782274,0.9998098750339122,0.20166683197021484
linear,0.007260479255726432,0.017530855041700887,0.9999822268894117,0.09370875358581543
quadratic,1.136261697218241,2.376547219783281,0.5646990654822266,0.19951295852661133
cubic,1.1273223911178092,2.286823003223574,0.5715214046532676,0.7288572788238525
