,progress,normalized_mae,normalized_rmse,r2,cpu_time
5703,finished,1.0840365091356687,0.3048306449252748,0.8385560789058295,7.933652639389038
5704,finished,1.1786882702214485,0.2698324322756435,0.8734993539695372,5.694673538208008
5705,finished,1.4628029647995848,0.2532444181455187,0.8885745977531215,6.681771516799927
5706,finished,1.556585000507647,0.2292580707406384,0.9086825629352688,9.88473129272461
5707,finished,1.3659813786502712,0.272382954824812,0.87109662130478,6.441092252731323
5708,finished,1.038615366527004,0.2208747589751475,0.9152388921563064,6.429669380187988
5709,finished,1.2078852124972486,0.222560453673381,0.913940178088079,8.167360782623291
5710,finished,3.0862235906160427,0.6757088657539067,0.2067251573861739,5.518127202987671
5711,finished,3.0559892410460154,0.647437879277045,0.2717161878255119,4.830857276916504
5712,finished,1.1504320461666833,0.3455180408498602,0.7925822569947691,6.377540826797485
5713,finished,1.377828171639406,0.3149247235092257,0.8276870329243466,5.2640674114227295
5714,finished,1.2049754781339523,0.2817651056596998,0.8620636074685327,12.95279574394226
5715,finished,1.8173583787445124,0.2957389671240653,0.8480427061733682,6.003648042678833
5716,finished,1.5536832508089162,0.2450198015175613,0.8956945947791576,9.822831153869627
5717,finished,1.59831087133937,0.2939163372731335,0.8499099504448231,10.943806171417236
5718,finished,0.9999471856474988,0.2288931420668812,0.9089730463067328,10.582235097885132
5719,finished,0.8726826039367769,0.2028417829696751,0.9285142816289093,9.013133764266968
5720,finished,1.4184233046701342,0.3920956061311791,0.7328910757126971,9.45382523536682
5721,finished,2.985123391997688,0.6492942121252683,0.2675339323760378,5.553809881210327
5722,finished,1.2015316810146883,0.3600157756294437,0.7748108246644606,10.090953588485718
5723,finished,1.3723482176787578,0.3362266557109548,0.8035876784295586,7.360318422317505
5724,finished,1.1988443518841865,0.2567955586821028,0.8854277442578212,9.75922966003418
5725,finished,1.6372701129711422,0.2836669054901448,0.8601952944355782,7.175342559814453
5726,finished,1.6329932267593243,0.2299783541478967,0.9081078589816396,6.880935430526733
5727,finished,1.5146847174440352,0.2693285069640336,0.8739714050993539,9.612274408340454
5728,finished,1.114453074218843,0.2447009476236404,0.895965891583046,8.70877480506897
5729,finished,0.9459253503142536,0.1915021410196837,0.9362835288787376,11.354358673095703
5730,finished,3.885558568112955,0.7946548814660425,-0.0971387602422269,13.685412645339966
5731,finished,2.978510036029488,0.6366404065975892,0.2958051485211699,7.675093650817871
5732,finished,1.314315527429554,0.3567722050577646,0.7788502400286589,9.770958185195925
5733,finished,1.4849232034744375,0.3232148136880869,0.8184956818456721,10.80775547027588
5734,finished,1.5412216280619948,0.2618054889518367,0.8809136614862798,7.140889406204224
