,method,num_hf,num_lf,problem,seed
146,ck,14,95,Forrester_1a,1
147,ck,16,95,Forrester_1a,1
148,ck,18,95,Forrester_1a,1
149,ck,20,95,Forrester_1a,1
150,ck,2,100,Forrester_1a,1
151,ck,4,100,Forrester_1a,1
152,ck,6,100,Forrester_1a,1
153,ck,8,100,Forrester_1a,1
154,ck,10,100,Forrester_1a,1
155,ck,12,100,Forrester_1a,1
156,ck,14,100,Forrester_1a,1
157,ck,16,100,Forrester_1a,1
158,ck,18,100,Forrester_1a,1
159,ck,20,100,Forrester_1a,1
160,ck,2,105,Forrester_1a,1
161,ck,4,105,Forrester_1a,1
162,ck,6,105,Forrester_1a,1
163,ck,8,105,Forrester_1a,1
164,ck,10,105,Forrester_1a,1
165,ck,12,105,Forrester_1a,1
166,ck,14,105,Forrester_1a,1
167,ck,16,105,Forrester_1a,1
168,ck,18,105,Forrester_1a,1
169,ck,20,105,Forrester_1a,1
170,ck,2,110,Forrester_1a,1
171,ck,4,110,Forrester_1a,1
172,ck,6,110,Forrester_1a,1
173,ck,8,110,Forrester_1a,1
174,ck,10,110,Forrester_1a,1
175,ck,12,110,Forrester_1a,1
176,ck,14,110,Forrester_1a,1
177,ck,16,110,Forrester_1a,1
178,ck,18,110,Forrester_1a,1
179,ck,20,110,Forrester_1a,1
180,ck,2,115,Forrester_1a,1
181,ck,4,115,Forrester_1a,1
182,ck,6,115,Forrester_1a,1
183,ck,8,115,Forrester_1a,1
184,ck,10,115,Forrester_1a,1
185,ck,12,115,Forrester_1a,1
186,ck,14,115,Forrester_1a,1
187,ck,16,115,Forrester_1a,1
188,ck,18,115,Forrester_1a,1
189,ck,20,115,Forrester_1a,1
190,ck,2,120,Forrester_1a,1
191,ck,4,120,Forrester_1a,1
192,ck,6,120,Forrester_1a,1
193,ck,8,120,Forrester_1a,1
194,ck,10,120,Forrester_1a,1
195,ck,12,120,Forrester_1a,1
196,ck,14,120,Forrester_1a,1
197,ck,16,120,Forrester_1a,1
198,ck,18,120,Forrester_1a,1
199,ck,20,120,Forrester_1a,1
200,ck,2,25,Forrester_1a,2
201,ck,4,25,Forrester_1a,2
202,ck,6,25,Forrester_1a,2
203,ck,8,25,Forrester_1a,2
204,ck,10,25,Forrester_1a,2
205,ck,12,25,Forrester_1a,2
206,ck,14,25,Forrester_1a,2
207,ck,16,25,Forrester_1a,2
208,ck,18,25,Forrester_1a,2
209,ck,20,25,Forrester_1a,2
210,ck,2,30,Forrester_1a,2
211,ck,4,30,Forrester_1a,2
212,ck,6,30,Forrester_1a,2
213,ck,8,30,Forrester_1a,2
214,ck,10,30,Forrester_1a,2
215,ck,12,30,Forrester_1a,2
216,ck,14,30,Forrester_1a,2
217,ck,16,30,Forrester_1a,2
218,ck,18,30,Forrester_1a,2
219,ck,20,30,Forrester_1a,2
220,ck,2,35,Forrester_1a,2
221,ck,4,35,Forrester_1a,2
222,ck,6,35,Forrester_1a,2
223,ck,8,35,Forrester_1a,2
224,ck,10,35,Forrester_1a,2
225,ck,12,35,Forrester_1a,2
226,ck,14,35,Forrester_1a,2
227,ck,16,35,Forrester_1a,2
228,ck,18,35,Forrester_1a,2
229,ck,20,35,Forrester_1a,2
230,ck,2,40,Forrester_1a,2
231,ck,4,40,Forrester_1a,2
