,progress,normalized_mae,normalized_rmse,r2,log_likelihood,learned_noise_std,cpu_time
2489,finished,0.1286005726105696,0.0173512376655349,0.9989071097212106,-3124.798146899421,0.5109398674028689,57.85117959976196
2490,finished,0.0431641069211563,0.0051714612869641,0.999902917220486,3063.419321016816,0.1087212644813065,94.62981748580933
2491,finished,0.0509963648472215,0.0127108926738022,0.9994135003606892,-1129.67913995583,0.3091392854501501,68.3249454498291
2492,finished,0.0573998188982439,0.0147055501492873,0.9992149845594376,-3027.9814378355745,0.4759744892298677,57.342615365982056
2493,finished,0.0246002213160284,0.0047927296278953,0.9999166162340708,3192.713052337827,0.1143843482354906,77.52537202835083
2494,finished,0.0515764490346809,0.0112332235441481,0.9995419378058696,-1089.8468697802566,0.3135394813624838,54.9213125705719
2495,finished,0.0927363929895649,0.0174496209180041,0.998894680990439,-3120.810414618654,0.5174044790224424,55.58296418190002
2496,finished,0.0172809615876536,0.0037967163332099,0.9999476722637493,3300.253799982664,0.0965510460920394,105.88258504867554
2497,finished,0.0462977118727498,0.0112140179998685,0.9995435027730896,-1064.64897323007,0.3217828567295027,60.597071170806885
2498,finished,0.0928997163325637,0.0157339051333662,0.9991013538862364,-2975.413957656648,0.521864793993928,61.12055063247681
2499,finished,0.0234983849660678,0.0035213114772563,0.999954988391748,3315.946923227305,0.1017797508272609,88.41010546684265
2500,finished,0.0321336391798291,0.0097603449469084,0.9996541832864304,-1075.271537248384,0.2935058648458973,76.34981656074524
2501,finished,0.1386761144466589,0.0217108768283941,0.998288919772066,-3196.929932642051,0.4853553492883642,68.05130243301392
2502,finished,0.0192090496640549,0.0037643826168206,0.9999485597388806,3349.1065477610528,0.1021901249418722,93.0644953250885
2503,finished,0.0600957288365755,0.0106210981861438,0.9995904994463356,-1127.8568787381628,0.2832463395287959,91.15094304084778
2504,finished,0.0916713987139194,0.0159103968123953,0.99908108007491,-3079.568195006158,0.5089848354242277,65.08499646186829
2505,finished,0.0178216823413194,0.0033917677673069,0.999958239291008,3378.808246917916,0.1008671806667663,107.74648547172546
2506,finished,0.1039763208788409,0.0146475415258664,0.9992211656065868,-1206.3783528273848,0.3098170861618827,78.00661444664001
2507,finished,0.0545039084480401,0.0157016568748371,0.999105033846608,-3068.9588949650506,0.4829214095182798,74.37864208221436
2508,finished,0.0213490734312477,0.0034838673999947,0.9999559405694524,3366.323332486054,0.1008496490397593,98.78866815567017
2509,finished,0.0371463006205961,0.006692121699408,0.9998374289141956,-933.7342085193192,0.3022265226130121,100.60107254981996
2510,finished,0.0662244770847867,0.0118500400372804,0.9994902522924765,-2968.223375136668,0.4859868702108739,80.0136251449585
2511,finished,0.0208940263366726,0.0029131648259458,0.9999691932587368,3313.0910406843946,0.0901061938940527,107.21152329444884
2512,finished,0.0480806224248658,0.0103883526129947,0.9996082499947396,-1013.5072358532784,0.3230164913083713,91.17304825782776
2513,finished,0.049954719327574,0.0136842924440057,0.9993202325897306,-3067.1565051473544,0.5134467295267856,80.26739430427551
2514,finished,0.0206047030888361,0.0026900146551497,0.9999737321251776,3427.9317466571783,0.0991726403231597,120.1607096195221
2515,finished,0.0733408817866309,0.0104506454033876,0.9996035377236726,-995.2438563197836,0.2985791600208333,135.85656666755676
2516,finished,0.0516798535426021,0.0107647803465266,0.9995793450623434,-2978.95450845371,0.4844234258182555,100.63891196250916
2517,finished,0.0218110926550945,0.0034486431192809,0.9999568270073532,3349.498084499388,0.1051048833297983,128.69107007980347
2518,finished,0.0437084934874786,0.0107500881647922,0.9995804925304778,-1032.129375356382,0.3082140865757047,108.18066072463988
