,mkg_normalized_mae,mkg_normalized_rmse,mkg_r2,mkg_mean_log_likelihood,mkg_lf_training_time,mkg_hf_training_time,mkg_inference_time,mkg_learned_noise_std,ck_normalized_mae,ck_normalized_rmse,ck_r2,ck_mean_log_likelihood,ck_lf_training_time,ck_hf_training_time,ck_inference_time,ck_learned_noise_std,hk_normalized_mae,hk_normalized_rmse,hk_r2,hk_mean_log_likelihood,hk_lf_training_time,hk_hf_training_time,hk_inference_time,hk_learned_noise_std,sk_normalized_mae,sk_normalized_rmse,sk_r2,sk_mean_log_likelihood,sk_lf_training_time,sk_hf_training_time,sk_inference_time,sk_learned_noise_std
89,0.0180110803559805,0.0011755084637786,0.9999988441609836,-0.6073330817926859,4.480007886886597,5.38829517364502,0.0295343399047851,0.3886391725015649,0.0127770127869101,0.0010460405682394,0.9999990847433662,-0.4905173205886817,36.82458066940308,8.208471536636353,0.0794644355773925,0.3343158938223862,0.013306541068761,0.0011559339339558,0.999998882334473,-0.513509174924751,45.982839584350586,4.854329586029053,0.0326979160308837,0.3420560335850637,0.0310603681727435,0.0022712745381774,0.9999956849573356,-0.7913137844462644,47.59980130195618,3.914155960083008,0.0844702720642089,0.3457369999006381
90,0.0246356385054221,0.004234142030236,0.9999482388106954,-0.6523956767658362,589.9621253013611,4.002236843109131,0.5496699810028076,0.2240119822945919,0.026331959544598,0.0042941797966023,0.999946760514328,-0.5896015080625395,511.2813904285431,6.78245997428894,1.6153526306152344,0.2580727561315337,0.0297948386539041,0.0043618919732878,0.9999450682779526,-0.6812647293503017,2124.9061160087585,3.4985439777374268,0.548969030380249,0.2218503824975839,0.0898078124954355,0.0100929932209622,0.9997058875792404,-1.1317202206630324,2514.779253005981,5.493458986282349,1.7997825145721436,0.197664195258383
91,0.0183458642977676,0.0033639260495177,0.9999673287100026,-0.5017959251882725,406.8424844741821,5.183869123458862,0.4907906055450439,0.3122164461463768,0.0231009093685466,0.0033610821877409,0.9999673839272442,-0.5093295801310429,324.19308257102966,6.662598848342896,1.3944928646087646,0.3404556896653278,0.0181311196002859,0.0032513796490456,0.9999694782965246,-0.4887455442166409,1655.4908742904663,3.825692892074585,0.490872859954834,0.3161559659247245,0.0304456630749289,0.0050006222864783,0.9999278026084912,-0.7677700190843083,1534.3105306625366,8.595263242721558,1.5099928379058838,0.3099788241298462
92,0.0230216119794311,0.0034541592825638,0.9999655524671092,-0.5519765912250467,437.8857491016388,11.3396954536438,0.5156188011169434,0.2780385456133609,0.0326099455944765,0.0031576109801967,0.9999712133816632,-0.4708142681745368,399.63084721565247,15.825823783874512,1.5771241188049316,0.2681284576984734,0.0316905709637544,0.0032181037374024,0.9999700998420824,-0.5213024390604829,2043.248523235321,6.96671199798584,0.5143499374389648,0.269068969166507,0.0892296948167893,0.0057438059518025,0.999904748259252,-0.6985321634919245,1642.733259677887,15.660855054855348,1.658325433731079,0.292741926709964
93,0.019387532840491,0.0033170305559877,0.999968233282052,-0.4869458190984471,596.2213575839996,21.0568745136261,0.8325600624084473,0.3312222673341184,0.0222783547217121,0.0033242042988729,0.9999680957296914,-0.4952381212329201,487.4616928100586,40.28420925140381,2.1456944942474365,0.3402687162648977,0.0159297055794619,0.0031726738821152,0.999970938082238,-0.4752080575919691,2288.345734119416,21.40712189674377,0.7212674617767334,0.3217289709144217,0.0426035348312755,0.0041881946053379,0.9999493561039456,-0.6085005224676672,2127.4283487796783,46.89164853096008,2.403273105621338,0.2768721729858452
94,0.0266846770105454,0.0031449136765504,0.9999714444281992,-0.4881631272663574,455.50960874557495,16.80318307876587,0.5602686405181885,0.3045621767781442,0.027231523479699,0.003435482376902,0.9999659239809192,-0.4979771692377531,380.5324001312256,32.75506925582886,1.6513590812683103,0.2991685326849606,0.0300608168309371,0.003152995809543,0.9999712974693272,-0.5091745081740018,1889.475635766983,18.414541721344,0.5579712390899658,0.2901517062719003,0.0555194347964247,0.0043634997214488,0.9999450277759632,-0.5963326875291375,1681.026050567627,30.049034118652344,1.6979172229766846,0.2738024495457286
95,0.0138758066489226,0.0028646260559986,0.9999763075878852,-0.4341348213718585,459.8149690628052,27.252370834350582,0.5721213817596436,0.3408732230990806,0.0168892396683797,0.0028271084671419,0.9999769241161016,-0.4661969058219887,364.01693534851074,39.97692799568176,1.6646358966827393,0.39052303066084,0.0174093109568013,0.0029141771236643,0.9999754808566956,-0.4476701510860958,1532.2596609592438,21.06438779830933,0.5679588317871094,0.3697683161072678,0.033823656654849,0.0043369019980037,0.9999456959001196,-0.6288510068717218,1720.8544297218325,37.03875803947449,1.698256492614746,0.3016801559275259
96,0.0258935390007424,0.0042646326943319,0.9999474906470456,-0.5870129600338931,479.4518446922302,2.825439214706421,0.484217882156372,0.2913246897382395,0.0217241080943535,0.0039303297473075,0.9999554003573062,-0.5608978673004477,368.6323976516724,3.948256254196167,1.9165141582489007,0.3347744814259561,0.0261351506309503,0.0043113249367404,0.9999463345327778,-0.5897877614719852,1724.131136894226,2.8063061237335205,0.4787197113037109,0.3120388723691639,0.1170038227979903,0.0095780845153047,0.9997351312436767,-1.037200694618533,1635.4230325222015,4.478220939636231,1.6434648036956787,0.285105432582461
97,0.0176652984892212,0.0036660104244416,0.9999611974029564,-0.5427965709124248,480.8964800834656,6.38494873046875,0.5074207782745361,0.2770444467419446,0.0275586221703083,0.0035334988932519,0.9999639518217508,-0.4974604675872611,416.9921934604645,12.129035949707031,1.5679397583007812,0.3081601264481283,0.0203813159184005,0.0039569490368468,0.9999547941836556,-0.5730000666472508,2011.6912863254547,7.067380428314209,0.5133745670318604,0.2934291081656116,0.066390083634994,0.0062975597640667,0.9998854967014088,-0.7958993096938833,1910.2474465370176,10.810144901275637,1.6985015869140625,0.2662025575385476
98,0.0218492617180182,0.0036903561376936,0.9999606803211386,-0.5266462535090223,442.7794272899628,9.782871007919312,0.538585901260376,0.3285134923233042,0.0219416048573278,0.0038949246318089,0.9999562002613316,-0.5432097096246113,431.31546354293823,17.470540285110474,1.638946533203125,0.3000034352877831,0.0173356973000958,0.0035030414870564,0.9999645705864116,-0.513021341719422,2268.359764814377,9.054157495498655,0.5420541763305664,0.3057631607752203,0.0381493141213189,0.0049997985700842,0.999927826391642,-0.7029449033956953,1786.6213059425354,17.02112340927124,1.7564692497253418,0.3140257920353602
