,progress,mf_normalized_mae,mf_normalized_rmse,mf_r2,mf_mean_log_likelihood,mf_learned_noise_std,mf_cpu_time,sf_normalized_mae,sf_normalized_rmse,sf_r2,sf_mean_log_likelihood,sf_learned_noise_std,sf_cpu_time
45,finished,0.1212103165222628,0.0167941840545402,0.9993391557839002,-0.4612449646265382,0.2555774179931262,12.092849016189575,0.2501139620335028,0.0290261335955132,0.9980259431484176,-0.814835085593718,0.3837925324950832,2.9203217029571533
46,finished,0.2083383598467319,0.0277053816501216,0.9982015036927268,-1.0970018482100898,0.4359355323694044,14.85954737663269,0.2748602906962573,0.0297255976263048,0.9979296562204149,-1.010740768145543,0.425493429819814,2.884712219238281
47,finished,0.2185652043592093,0.0286047929124629,0.9980828376468146,-1.2689112748463518,0.5638511253451458,15.908379077911375,0.308504979440953,0.0328899380630156,0.9974654119229688,-1.2522779624711362,0.5467123866696174,2.754336357116699
48,finished,0.1162241519660459,0.0212852154888277,0.9989384575182036,-0.6587641522222119,0.3373272894356089,16.600082874298096,0.1988103929301667,0.0275501926236582,0.998221595471238,-0.7129000164153685,0.3521358364755715,4.434081077575684
49,finished,0.1211124827135934,0.0242766593088698,0.9986191098762492,-0.8836208725822258,0.4342813561539556,12.34399151802063,0.2201875206781765,0.0305182613592756,0.9978177683397234,-0.9188002284762656,0.4600148191213515,3.18202543258667
50,finished,0.13754499291473,0.0282014368382711,0.9981365242397606,-1.142955993521708,0.5855280833438475,16.987279415130615,0.2507332985021216,0.0345967394698663,0.9971955247052512,-1.1706419412523223,0.618887914915346,4.112090826034546
51,finished,0.0696797041354487,0.016001628121726,0.9994000575080888,-0.5492836609244166,0.404357274221534,18.4156141281128,0.1309486830055007,0.0191134616981574,0.9991440271742986,-0.648730240712405,0.4507209171661374,4.431260108947754
52,finished,0.0706995681801009,0.0154089290624183,0.9994436780598344,-0.6862039149866728,0.4322804507930131,18.53567790985108,0.156410350365707,0.0219369439534874,0.9988724559238102,-0.8840276461076192,0.5476954589854172,4.67866587638855
53,finished,0.0849958481926047,0.0176255210695976,0.9992721109159944,-1.0217389514406532,0.6545086655713831,21.189079523086548,0.1768304196815145,0.0232840958735258,0.9987297183221908,-1.1065923509369964,0.7186098351279983,3.7956831455230713
54,finished,0.0951227724653559,0.0162118546545248,0.9993841900819538,-0.5314181215427568,0.3669927360631883,19.65224242210388,0.1522220546966657,0.019102864415162,0.9991449760836852,-0.6216171763038532,0.3516986559000971,5.273921489715576
55,finished,0.061606390074884,0.0131667626052104,0.9995938005911472,-0.6020324884559327,0.3648134280501785,20.6741247177124,0.1313660040767709,0.0197766150287177,0.9990835997571752,-0.8167483539085499,0.4730157804392833,4.672214508056641
56,finished,0.0754141934092859,0.01682239256859,0.9993369339327016,-1.0015171038530974,0.5718461263597613,12.455700635910034,0.166003352575994,0.0224060230448581,0.9988237196748672,-1.0802115346824404,0.6129781814149196,3.571916103363037
57,finished,0.1301141151156759,0.0153458746881337,0.9994482217578216,-0.4856218202923436,0.2591839811274493,18.5324547290802,0.2129473603233208,0.0245091307468759,0.998592536653937,-0.7800053864617612,0.3837838821745542,5.670262336730957
58,finished,0.1523541256468289,0.0208369522658707,0.9989826985349164,-0.8687377106115298,0.4965952055210328,17.606861114501953,0.2193471928940305,0.0272221483309747,0.9982636947897356,-0.9972399757654908,0.4892999585945033,4.502579212188721
59,finished,0.2097012072709786,0.0243734856362652,0.9986080726772152,-1.1396096666962476,0.6502078786930733,24.115196466445923,0.2330067601569261,0.0310367667892015,0.9977429861600554,-1.2457311491123304,0.6350369336900398,5.807469606399536
60,finished,0.7949115385730705,0.1136546691652575,0.970014630067406,-2.4037421933881014,0.0001089665172212,10.50423550605774,1.4433661652068677,0.4079815433508287,0.6136188952341509,-69.79129036021625,0.0001089665172212,0.4720034599304199
61,finished,0.8048490384666204,0.1471714223184426,0.9497215569012992,-5.416589688203672,0.0001087537464624,13.0357768535614,1.448907654390338,0.4063205946861736,0.6167585119435217,-73.48384915808484,0.0001087537464624,0.4678170680999756
62,finished,0.844855486628542,0.1654540916770023,0.936453758291747,-8.258237815589473,0.0001085723476656,13.780078172683716,1.454661537152669,0.4048163368752073,0.6195908904997149,-77.99563456772071,0.0001085723476656,0.5824041366577148
63,finished,0.3164117663608505,0.0306164785941487,0.9978240679798625,-0.7340254525281044,0.2085449013508834,16.049084901809692,0.6837902494180171,0.0878859434474287,0.982070272657937,-1.4629510708547897,0.2915712236348067,1.4381115436553955
64,finished,0.3390622141764276,0.0477801619994676,0.9947005587404024,-1.828397372054616,0.2543853485499686,15.036434888839722,0.6256764926857739,0.0700785120188446,0.9886000068442032,-4.84840951658902,0.0392470351718965,1.354762315750122
65,finished,0.363277362500106,0.0656592767435997,0.9899924668828018,-2.543202930338553,0.2796088796063525,14.582537412643433,0.5948327930107475,0.0812704092074193,0.9846679671933566,-4.840087339272659,0.0593831917723418,1.1769282817840576
66,finished,0.1717647742308912,0.0195693046499587,0.9991110330083056,-0.6281079927038172,0.2240725742972435,13.684946060180664,0.5354967571906769,0.0569791732047738,0.992463544604185,-1.2227777670130295,0.446053559517959,1.818257570266724
67,finished,0.2149407387124582,0.0316555472696054,0.997673867232379,-1.0559179606605391,0.5809287916463685,12.944870948791504,0.5247010550069708,0.0573719087822982,0.9923592947705738,-1.365401399144675,0.5814912418695014,1.2600176334381104
68,finished,0.2501685556870592,0.0375844207310644,0.9967209308972124,-1.3265120111029114,0.7923929787207988,14.901300430297852,0.5332992720695164,0.0605707716293453,0.9914835017895292,-1.5507412135638652,0.773959701865907,1.5811550617218018
69,finished,0.4284688588493188,0.0517842580787926,0.9937751288868956,-1.0903785413488627,0.3507721719341966,18.018083095550537,0.5082710370259017,0.0581724687258028,0.9921445722877762,-1.109572996213784,0.2963653698642275,2.979708909988404
70,finished,0.4402073245141193,0.0536422410620233,0.9933204274105732,-1.2682710493840723,0.3834292727131708,13.076402187347412,0.4988512734650688,0.0598008830942384,0.9916986248312448,-1.4432433778884608,0.289562588412489,2.313671588897705
71,finished,0.4865086419723002,0.0605243854227069,0.9914965409755157,-1.5244586854896685,0.4822627402780334,14.345358848571776,0.5473506794419527,0.0662985423539799,0.989796649465562,-1.5138861049254904,0.437639635256786,2.666884183883667
