,progress,normalized_mae,normalized_rmse,r2,cpu_time
0,finished,0.024504540151942,0.0065719686618689,0.999999585805893,0.0636756420135498
1,finished,0.0038202347518296,0.0004822477067242,0.9999999977697512,0.1909363269805908
2,finished,0.0041297983984926,0.0005341640559492,0.999999997263709,0.1027874946594238
3,finished,0.0034732613214818,0.000468146170424,0.999999997898275,0.1311078071594238
4,finished,0.003696510177683,0.0004835064929236,0.9999999977580932,0.1290245056152343
5,finished,0.0038527100641221,0.0004672278848667,0.999999997906512,0.3303878307342529
6,finished,0.0037297228286498,0.0004727926392481,0.9999999978563476,0.2521336078643799
7,finished,0.0038151758368011,0.0004618551998486,0.9999999979543815,0.3389394283294678
8,finished,0.0040248007519258,0.0004799975618164,0.9999999977905152,0.1440255641937255
9,finished,0.0022342210014544,0.0005544977056508,0.9999999970514232,0.4246344566345215
10,finished,0.021687609700103,0.0060219123972228,0.9999996522382484,0.0518996715545654
11,finished,0.0043126562904929,0.0005895246491043,0.9999999966671416,0.2458128929138183
12,finished,0.0047809732548671,0.0006737418267961,0.9999999956468868,0.1377520561218261
13,finished,0.0039862048087649,0.000598399899514,0.999999996566034,0.251932144165039
14,finished,0.0040706517154371,0.0005738012102749,0.9999999968425544,0.244905948638916
15,finished,0.0043018260742235,0.0005886290484509,0.9999999966772602,0.2379066944122314
16,finished,0.0044655339161884,0.0006093232542461,0.9999999964395208,0.2735605239868164
17,finished,0.0045827571352092,0.0006182692487365,0.9999999963342044,0.3603696823120117
18,finished,0.0045659413751772,0.0006225932255738,0.9999999962827504,0.1683368682861328
19,finished,0.0047249036655897,0.0006671847800139,0.999999995731206,0.1362297534942627
20,finished,0.0240052781021482,0.006228735071883,0.99999962794027,0.0481801033020019
21,finished,0.0065431323529966,0.0009093372686415,0.9999999920701872,0.1631033420562744
22,finished,0.0047389702165361,0.0006137564043379,0.9999999963875236,0.1392278671264648
23,finished,0.0047144123201015,0.0005814371874702,0.9999999967579586,0.2807180881500244
24,finished,0.004525310905495,0.0005652696185023,0.9999999969357496,0.1152207851409912
25,finished,0.0049763294745038,0.0006195858804291,0.9999999963185748,0.1842026710510254
26,finished,0.0047375534954227,0.0006014549904387,0.9999999965308808,0.1818850040435791
27,finished,0.004835474768602,0.0006156574141384,0.9999999963651108,0.1475112438201904
28,finished,0.0047956035274575,0.0006102751650573,0.9999999964283874,0.1877284049987793
29,finished,0.0033089972872724,0.0006998612140178,0.9999999953028244,0.3580310344696045
30,finished,0.0206209809939388,0.0063718498037254,0.9999996106465672,0.0464789867401123
31,finished,0.0005848680226914,0.0001852602691237,0.9999999996708624,0.2210173606872558
32,finished,0.0010368900256962,0.00021782759414,0.9999999995449712,0.0856976509094238
