,progress,linear_without_bias_normalized_mae,linear_without_bias_normalized_rmse,linear_without_bias_r2,linear_without_bias_cpu_time,linear_normalized_mae,linear_normalized_rmse,linear_r2,linear_cpu_time,quadratic_normalized_mae,quadratic_normalized_rmse,quadratic_r2,quadratic_cpu_time,cubic_normalized_mae,cubic_normalized_rmse,cubic_r2,cubic_cpu_time
85,finished,0.1062142334745316,0.0219760939520402,0.9988423228249508,2.222795486450196,0.5674533798847612,0.0738545251445749,0.9869250304890688,1.764946222305298,0.6201376787174293,0.0843856769765543,0.9829303764964092,1.7181413173675537,0.6200120351724144,0.0925285797833094,0.9794771223027756,1.7594854831695557
86,finished,0.0831418189110644,0.0191662080502694,0.9991194401879004,2.267782926559448,0.5883992691273696,0.1141809886864455,0.9687482700421584,1.98568058013916,0.3569205547894779,0.0737575237020444,0.9869593535859048,1.911068201065064,0.3440578648059359,0.0743095342503875,0.9867634274882974,1.9160335063934328
87,finished,0.2237607536215484,0.0351458857587374,0.9970390201592092,2.3798024654388428,0.2225715580353057,0.0351247757354011,0.997042576056594,2.2760283946990967,0.2506440906152121,0.0393000561798793,0.9962976897708934,2.2026400566101074,0.2573752383118999,0.0408639851113285,0.995997163057812,2.0047311782836914
88,finished,0.0518680803366387,0.0163734393355152,0.9993573621593712,2.3259921073913574,0.051546815461289,0.0163416400550784,0.9993598559026118,1.916374444961548,0.0469713676267642,0.0159729963006868,0.9993884115899432,2.013327121734619,0.0512201573081535,0.0160008341621523,0.9993862779702972,2.0691096782684326
89,finished,0.0756080393611591,0.0169267234317415,0.9993131968773789,2.4404232501983643,0.074979977927894,0.0169398693471983,0.9993121296700348,1.9284238815307613,0.0723282279488724,0.0169460789354907,0.9993116252771927,2.491867780685425,0.0763527616708236,0.0170328452339059,0.999304558080821,1.96350622177124
90,finished,1.4461991911743752,0.3547889310039488,0.6913199663630194,1.376875877380371,1.5506749835449285,0.3638059369690556,0.6754302961594565,1.1803228855133057,4.381403383090313,0.7329118964624707,-0.3172613744338446,1.0726256370544434,56.789763286381984,6.752721349125195,-110.82169550356902,1.413278579711914
91,finished,0.9271106654146244,0.2935813677914343,0.7886387376204264,1.5206522941589355,1.3165288417630534,0.3885416388086529,0.6297939171394723,1.2832143306732178,3.752588960980995,0.731250538976198,-0.3112962326838466,1.110116958618164,20.737077468824385,2.71790666195186,-17.114964673081655,1.1440410614013672
92,finished,1.352361756275651,0.2132898364564193,0.8884399404080547,1.5317041873931885,1.1509664584993406,0.1887102612526731,0.9126708070095376,1.3227922916412354,1.1401550092450694,0.2236467043154205,0.8773426943329993,1.2450952529907229,1.112733204180651,0.2055157485663765,0.8964241205294101,1.3923799991607666
93,finished,0.7271399582680174,0.0969534518306614,0.9769487242049448,2.104724407196045,0.7166030548928832,0.0953496382428359,0.977705049397408,1.576080560684204,0.706402412832203,0.1002431362943782,0.9753579004940228,1.3372392654418943,1.0107231436743749,0.1042196590152436,0.9733640794417,1.8037827014923096
94,finished,0.8792134016942458,0.1107774277000041,0.9699066200835073,2.001461267471313,0.6771405454545557,0.0970038661044197,0.9769247453687756,1.5631592273712158,0.4135598991138187,0.0830482679473278,0.9830866524348566,1.906719446182251,0.4885289647173124,0.0877486519475076,0.981117942246324,1.6749427318572998
95,finished,0.0863637075096875,0.0180878371961132,0.9991976909410716,1.889822483062744,0.4620917311765414,0.059588424321594,0.9912925253568212,1.764822244644165,0.6990347285504125,0.0809576773061186,0.98392746077058,1.814176321029663,0.6886582519368292,0.0801658903425276,0.9842403105345996,2.1849923133850098
96,finished,0.0696508517154226,0.0175377538646376,0.9992457481980872,2.101719856262207,0.071070312992677,0.0175357536482242,0.9992459202361728,2.0602922439575195,0.2606599991904694,0.0474190786539556,0.9944858999989152,2.0594513416290283,0.2200198248136187,0.04379130245138,0.9952973339463764,2.035712718963623
97,finished,0.0499644441016289,0.0176659304172809,0.9992346828490014,2.1306583881378174,0.0496184292651251,0.0176603401616603,0.999235167130495,2.125842332839966,0.0520976323659528,0.01787231558285,0.9992166965055318,1.746385097503662,0.054750879128046,0.0180719810744313,0.9991990969614792,1.737722635269165
98,finished,0.0636092882819529,0.0165653899513969,0.9993270671297432,2.6196064949035645,0.0603680355951516,0.0165152604483526,0.9993311337709224,2.5568172931671143,0.0490239565321823,0.0163749255489698,0.9993424525721224,2.391528606414795,0.0561901888574504,0.0164536795472414,0.9993361125108274,1.9938814640045168
99,finished,0.0493782331221346,0.0155284235753416,0.9994086792037138,2.7676613330841064,0.0490080586559399,0.0155261431060282,0.9994088528710414,2.4892139434814453,0.0483337187268892,0.0156233404343645,0.9994014282619438,2.13356876373291,0.0569105154327083,0.0160340263414138,0.9993695457153512,2.0377984046936035
100,finished,1.6070217732825534,0.4605867177517987,0.8232553509722865,0.6683619022369385,1.6122748796041084,0.4637594790532968,0.8208119456629794,0.3874039649963379,1.7054159109864733,0.4782621575720404,0.8094295794917838,0.4261324405670166,1150.3373840401414,116.26602759124754,-11261.352690981395,0.5829718112945557
101,finished,0.1221393507097326,0.0286036662920535,0.9993183414912896,0.8741645812988281,1.3255216443495204,0.4335905510196371,0.8433670694815041,0.5141355991363525,1.5153115403364494,0.5112886580330754,0.7822010546328458,0.5090370178222656,8.490552875082614,0.8473295953523098,0.4018250719319979,0.5394680500030518
102,finished,0.0108455102719971,0.0015095446005796,0.9999981014792289,1.3423309326171875,0.0103696752245076,0.0014264177229243,0.9999983048157556,0.8876738548278809,0.0105966425424037,0.002304928347471,0.9999955737258108,0.6330978870391846,0.0210019222231559,0.0028628059750105,0.999993171783468,0.5139725208282471
103,finished,0.0057726071345242,0.0006884487898397,0.9999996051185466,1.5032904148101809,0.0041368054399219,0.000347208613,0.9999998995605248,0.8776085376739502,0.0052899588260803,0.0006266372825642,0.9999996728432274,0.8501067161560059,0.0084857936294131,0.000785401176418,0.999999486066947,1.0847840309143066
104,finished,0.0047195644744637,0.0003344638647704,0.9999999067987232,1.3023827075958252,0.0046560538287881,0.0003355994596251,0.999999906164762,1.1349434852600098,0.0032008798071836,0.0002634336460822,0.9999999421816173,1.0439703464508057,0.003670701231535,0.0004239901995843,0.9999998502264612,0.7814192771911621
