,progress,normalized_mae,normalized_rmse,r2,cpu_time
0,finished,0.0486095297733992,0.0169937628207827,0.9993100334428436,0.3139741420745849
1,finished,0.1018920750367288,0.022594464580493,0.9987802999421592,0.1815264225006103
2,finished,0.0498079945685995,0.0165751242240071,0.9993436091481552,0.3936142921447754
3,finished,0.0404079153812219,0.0168761856474146,0.9993195479541572,0.3363654613494873
4,finished,0.0421208891331779,0.0173406311749029,0.9992815794641606,0.3443498611450195
5,finished,0.045269323516171,0.0178388309628128,0.9992397057321514,0.6274337768554688
6,finished,0.0616401526822505,0.0166413683783682,0.9993655845096892,0.2748556137084961
7,finished,0.2868227925369862,0.0690586665152216,0.9890747323326718,0.2052841186523437
8,finished,0.1114440726992123,0.0272745859058174,0.9982958334324222,0.4240686893463135
9,finished,0.0437684033901513,0.0162326400587293,0.9993963655364012,0.4795424938201904
10,finished,0.0335951556998884,0.0150178247428051,0.9994833341305174,0.4515044689178467
11,finished,0.0460944806950807,0.0156386012969912,0.99943973753879,0.6702494621276855
12,finished,0.7001678628056169,0.1224702374708825,0.964398496364032,0.2031328678131103
13,finished,0.0475946652965509,0.0164162771672362,0.9993603291312751,0.6743130683898926
14,finished,0.0484223066396236,0.0169119209550129,0.9993211198643552,0.4756543636322021
15,finished,0.0427238059315222,0.0169313923539167,0.999319555718495,0.4718420505523681
16,finished,0.0827159386484813,0.0216184438989649,0.9988906819457954,0.6671245098114014
17,finished,0.066285056306628,0.0174332848405161,0.9992786173826996,0.6357026100158691
18,finished,0.3762756251257251,0.0631110935160662,0.990953218805512,0.5958449840545654
19,finished,0.0770056261388127,0.0211553679982604,0.9989834614690718,0.3026795387268066
20,finished,0.0538437647778752,0.0166514540873016,0.9993702226970592,0.444232702255249
21,finished,0.0695672155750779,0.0180213643756698,0.9992623369807776,0.1763749122619629
22,finished,0.0530322365046058,0.0165154426276643,0.9993804689014736,0.4057412147521972
23,finished,0.0471813059750078,0.0159568517451464,0.9994216681689472,0.5001134872436523
24,finished,0.4406977994353698,0.0855293664662619,0.9832000273446316,0.4059741497039795
25,finished,0.057979557107588,0.0181914251660553,0.9992400036386424,0.404247522354126
