,num_sample,problem,seed
100,12,mf_Bohachevsky,21
101,14,mf_Bohachevsky,21
102,16,mf_Bohachevsky,21
103,18,mf_Bohachevsky,21
104,20,mf_Bohachevsky,21
105,12,mf_Bohachevsky,22
106,14,mf_Bohachevsky,22
107,16,mf_Bohachevsky,22
108,18,mf_Bohachevsky,22
109,20,mf_Bohachevsky,22
110,12,mf_Bohachevsky,23
111,14,mf_Bohachevsky,23
112,16,mf_Bohachevsky,23
113,18,mf_Bohachevsky,23
114,20,mf_Bohachevsky,23
115,12,mf_Bohachevsky,24
116,14,mf_Bohachevsky,24
117,16,mf_Bohachevsky,24
118,18,mf_Bohachevsky,24
119,20,mf_Bohachevsky,24
120,12,mf_Bohachevsky,25
121,14,mf_Bohachevsky,25
122,16,mf_Bohachevsky,25
123,18,mf_Bohachevsky,25
124,20,mf_Bohachevsky,25
125,12,mf_Bohachevsky,26
126,14,mf_Bohachevsky,26
127,16,mf_Bohachevsky,26
128,18,mf_Bohachevsky,26
129,20,mf_Bohachevsky,26
130,12,mf_Bohachevsky,27
131,14,mf_Bohachevsky,27
132,16,mf_Bohachevsky,27
133,18,mf_Bohachevsky,27
134,20,mf_Bohachevsky,27
135,12,mf_Bohachevsky,28
136,14,mf_Bohachevsky,28
137,16,mf_Bohachevsky,28
138,18,mf_Bohachevsky,28
139,20,mf_Bohachevsky,28
140,12,mf_Bohachevsky,29
141,14,mf_Bohachevsky,29
142,16,mf_Bohachevsky,29
143,18,mf_Bohachevsky,29
144,20,mf_Bohachevsky,29
145,12,mf_Bohachevsky,30
146,14,mf_Bohachevsky,30
147,16,mf_Bohachevsky,30
148,18,mf_Bohachevsky,30
149,20,mf_Bohachevsky,30
150,12,mf_Booth,1
151,14,mf_Booth,1
152,16,mf_Booth,1
153,18,mf_Booth,1
154,20,mf_Booth,1
155,12,mf_Booth,2
156,14,mf_Booth,2
157,16,mf_Booth,2
158,18,mf_Booth,2
159,20,mf_Booth,2
160,12,mf_Booth,3
161,14,mf_Booth,3
162,16,mf_Booth,3
163,18,mf_Booth,3
164,20,mf_Booth,3
165,12,mf_Booth,4
166,14,mf_Booth,4
167,16,mf_Booth,4
168,18,mf_Booth,4
169,20,mf_Booth,4
170,12,mf_Booth,5
171,14,mf_Booth,5
172,16,mf_Booth,5
173,18,mf_Booth,5
174,20,mf_Booth,5
175,12,mf_Booth,6
176,14,mf_Booth,6
177,16,mf_Booth,6
178,18,mf_Booth,6
179,20,mf_Booth,6
180,12,mf_Booth,7
181,14,mf_Booth,7
182,16,mf_Booth,7
183,18,mf_Booth,7
184,20,mf_Booth,7
185,12,mf_Booth,8
186,14,mf_Booth,8
187,16,mf_Booth,8
188,18,mf_Booth,8
189,20,mf_Booth,8
190,12,mf_Booth,9
191,14,mf_Booth,9
192,16,mf_Booth,9
193,18,mf_Booth,9
194,20,mf_Booth,9
195,12,mf_Booth,10
196,14,mf_Booth,10
197,16,mf_Booth,10
198,18,mf_Booth,10
199,20,mf_Booth,10
