Model,Normalized RMSE,Normalized MAE,Normalized Log Likelihood,R2
BNN,0.6574145,1.2323669,-10.925964,0.3345046716620854
Sequential MF-BNN LF1,0.17345029,0.5298247,1.0209569,0.9536748775393884
MF-DNN-BNN LF1,0.7221379,1.5689214,-14.026779,0.19701610746367737
MF-DNN-BNN LF1 Order 2,0.41443077,0.8765932,-1.8702312,0.7355335857791859
Sequential MF-BNN LF2,0.18352245,0.4391086,1.117365,0.9481385303667049
MF-DNN-BNN LF2,0.059190366,0.17267396,1.8344871,0.9946052843183703
Sequential MF-BNN LF3,0.9296439,2.9436877,-8.477247,-0.3307601022909108
MF-DNN-BNN LF3,0.69480497,1.4220011,-11.854751,0.2566517458587959
