nmae,nrmse,r2,log_likelihood,lf_nmae,lf_nrmse,lf_r2,beta_0,beta_1
0.76720744,0.08700567,0.6044412637925505,-78.38926,0.46603912,0.07968018,0.6744788306995869,-4.217406534863767,1.264175599205515
0.5113118,0.08458088,0.6261819124724621,-79.57287,0.38888514,0.07787045,0.6890976500739374,-5.0,1.2647348536161804
0.812678,0.08642065,0.609742669362523,-77.2647,0.41469014,0.079456195,0.6763064128171156,-5.0,1.244092588148915
0.64286387,0.08555947,0.6174817699306232,-67.20061,0.3738425,0.07963921,0.6748134954814955,-4.499062519459704,1.2591855296279593
0.8115258,0.09036833,0.5732746113327902,-64.67658,0.49457222,0.08501398,0.6294393815975772,-5.0,1.302376326895543
