,progress,normalized_mae,normalized_rmse,r2,log_likelihood,learned_noise_std,cpu_time
0,finished,0.0348126303198705,0.0083573927730846,0.9999764590211468,529.4499271261856,0.0583402956026142,0.4679644107818603
1,finished,0.2672808529134974,0.0389764070862121,0.9994879805061508,-286.82075474415194,0.3314938631369439,0.3750345706939697
2,finished,0.327657367030197,0.1651286038451767,0.9908097461239828,-1188.807881620751,0.4390366627487804,0.3453478813171386
3,finished,0.0847766735682378,0.0166594525284811,0.9999064584975176,690.5963204383618,0.0827212555955124,0.4582884311676025
4,finished,0.0935715833479277,0.0513287058740895,0.999112019313031,-297.7584194254312,0.2670001101880966,0.3964700698852539
5,finished,0.3180245031128046,0.1054580549414412,0.9962516304197032,-869.4598814254468,0.4932862819359327,0.3820981979370117
6,finished,0.0416782457638858,0.0116617266649331,0.9999541637999072,857.1059114550801,0.1003463569131869,0.5574479103088379
7,finished,0.083564887845048,0.0325529653865149,0.999642839021926,-284.777587895356,0.382888293166946,0.4130475521087646
8,finished,0.1770368964107048,0.0700511872438682,0.9983460823144904,-867.6405364425932,0.7164976257089191,0.4121544361114502
9,finished,0.0343181246431437,0.0119021500345843,0.9999522543586062,741.2103889557675,0.0794308191898144,0.6383626461029053
10,finished,0.0981901398913766,0.0397288952002704,0.9994680193116484,-291.47199982364907,0.2880032959875966,0.4174394607543945
11,finished,0.144807883473084,0.0563062445546275,0.9989314471295698,-741.337313243328,0.4670116475419228,0.5304038524627686
12,finished,0.0352122305014956,0.0106985261424622,0.9999614227917716,796.9770818798592,0.0972851427463046,0.6316375732421875
13,finished,0.1104515407624958,0.0322372837657543,0.9996497325546008,-257.51702133001663,0.3033792737268863,0.4934802055358886
14,finished,0.183645940634244,0.0412396928171807,0.9994267900319272,-734.0054055248117,0.5272877564197045,0.4750387668609619
15,finished,0.0511283972419667,0.0077687521045664,0.9999796583855738,882.3385673691906,0.094375854278188,0.707392692565918
16,finished,0.0710976711875041,0.0316887927350507,0.9996615501868475,-239.1193371151216,0.2643845114907355,0.565793514251709
17,finished,0.0650422632320538,0.0345877766340112,0.9995967928896295,-758.1467955573997,0.5519333956170486,0.5765321254730225
18,finished,0.0461931167665931,0.00856265751332,0.9999752884470916,871.486373671405,0.10005820078128,0.8273234367370605
19,finished,0.0715046055720443,0.0320083132887932,0.999654690545772,-257.16424896651927,0.303371582903059,0.6343905925750732
20,finished,0.2056263975282425,0.0419520921985452,0.9994068150282786,-757.2679955627655,0.5275605107507653,0.62786865234375
21,finished,0.0319097913468942,0.0072076780601927,0.999982490503774,823.1043141702166,0.1032590256529977,0.890042781829834
22,finished,0.0601686977791813,0.0163424852460118,0.999909984127804,-242.29839566989327,0.3447028685098933,0.7271349430084229
23,finished,0.1707453760399193,0.0697877236741334,0.998358499738062,-878.8276916592001,0.4445872606988956,0.6977429389953613
24,finished,0.1158289735525947,0.0159562965527634,0.9999141881847268,803.5956935116685,0.1105354412235731,1.0286438465118408
25,finished,0.0816749323969714,0.0394828436261768,0.999474588301416,-267.9793114623177,0.2914388906386529,0.8466739654541016
26,finished,0.1369806842874153,0.0394734516642788,0.9994748382357816,-705.073599110797,0.4997099982142717,0.811936616897583
27,finished,0.0192976217427651,0.0100372389620539,0.9999660443992674,805.3575816752355,0.1160247887456661,1.141645908355713
28,finished,0.1005742866689277,0.0192801661179672,0.9998747134547878,-254.11134351744224,0.3482184205970053,0.9153690338134766
29,finished,0.0757038621818992,0.030224231938866,0.9996921115215182,-753.000325098557,0.5527972620785846,0.7763652801513672
30,finished,0.0240768829027605,0.0105024046653282,0.9999628241945528,837.4860739032849,0.1167184881714236,0.4049625396728515
31,finished,0.0540633886790403,0.0246765775365208,0.9997947643775686,-321.9137766640669,0.4316539173151119,0.348564863204956
32,finished,0.57342987107629,0.1949512913072906,0.9871904131337824,-1140.7529833899753,0.5873837106280405,0.4410395622253418
33,finished,0.0288915867504208,0.0115220832145857,0.9999552549594832,853.969515707917,0.102325309709485,0.4871506690979004
34,finished,0.1279257192187654,0.0261946043635805,0.9997687367750856,-238.5815946386029,0.3044633006863341,0.3798377513885498
35,finished,0.2834289869866491,0.1299831087183194,0.994305485151326,-905.3498882312208,0.583453017299571,0.4174449443817138
36,finished,0.0736458273471284,0.0198746850593475,0.9998668677102313,772.658314329751,0.1167513068023385,0.4696254730224609
