,progress,linear_without_bias_normalized_mae,linear_without_bias_normalized_rmse,linear_without_bias_r2,linear_without_bias_cpu_time,linear_normalized_mae,linear_normalized_rmse,linear_r2,linear_cpu_time,quadratic_normalized_mae,quadratic_normalized_rmse,quadratic_r2,quadratic_cpu_time
61,finished,1.798372290107144,0.4213612732345483,0.5731128623497372,1.186988115310669,1.234442581259346,0.201666608239485,0.9022150940594352,1.2879209518432615,1.223896654164173,0.1985628609064185,0.90520184670035,1.2336595058441162
62,finished,0.8361841973056633,0.1146081755254856,0.968418334305796,1.3653461933135986,0.8303639207818986,0.1133820978386458,0.9690904408781836,1.4381484985351562,0.7319646065336574,0.1094327360457578,0.9712062420586725,1.295952081680298
63,finished,0.3474694680883934,0.0795332525109052,0.9847909768588026,1.450563907623291,0.2463291154353509,0.0532038284579523,0.9931940366958784,1.2188632488250732,0.219109916508996,0.0525334099996743,0.9933644791429662,1.3696763515472412
64,finished,0.7103508966756513,0.1071411753808402,0.9723995192327634,1.6719419956207275,0.7223642335987487,0.1086493901924262,0.9716169919485798,1.380584716796875,0.7281927759274364,0.129577158459092,0.9596298151513524,1.4602787494659424
65,finished,0.0827298374972186,0.0193728773362309,0.999097614534934,1.7899084091186523,1.264444148577723,0.17774430278921,0.9240382060604267,1.6623003482818604,1.1865943931896468,0.193350664951629,0.9101133543096952,1.719776630401611
66,finished,0.0474821642588763,0.0162896660645636,0.9993619889551796,2.085629463195801,0.0472412392239008,0.0162788873809396,0.9993628330048964,1.807465553283692,0.0500013260342089,0.0162279127695212,0.9993668171209376,1.8309290409088133
67,finished,0.0467463451570648,0.0159765693985456,0.999386279126391,2.1056101322174072,0.047536627336969,0.0159644108819493,0.9993872128808028,1.869911193847656,0.0478440260902631,0.0160004165763276,0.999384445637217,2.32963228225708
68,finished,0.0453604343430531,0.0148777674244668,0.9994677944921064,2.534626007080078,0.0453497439027958,0.0149222687207393,0.999464605941702,2.144273281097412,0.0517347271211434,0.0152689167007452,0.999439442347477,2.309759616851806
69,finished,0.0501799285849417,0.0152996978034126,0.9994371799768024,2.040080308914185,0.0499244083047374,0.0153063922114709,0.9994366873433872,1.7620644569396973,0.05438525442386,0.0158198661608516,0.9993982592208204,2.5958728790283203
70,finished,1.8453643491652765,0.5849539730937847,0.1955367251443206,1.0067956447601318,1.420122818126773,0.3414209644783685,0.7259415469010808,1.019810438156128,24.02568380744147,3.275254227600056,-24.22045190864392,1.0259103775024414
71,finished,0.2561862940352257,0.0530618702603136,0.9933804580438488,1.1974022388458252,0.4541908531950926,0.1145033367428865,0.9691752816091914,1.27936053276062,1.104691034521867,0.3686062388996486,0.6805608101912508,1.1523656845092771
72,finished,0.8878656409505565,0.1359387886808668,0.9565540174151348,1.2802152633666992,0.8334256466678048,0.1297061860500523,0.960446564510158,1.3011178970336914,0.6932442866852333,0.104610120018687,0.974271750830393,1.2415802478790283
73,finished,0.7978525029468416,0.0980391943808672,0.9774024008764448,1.495405197143555,0.770444986402085,0.0963938525275485,0.978154524205233,1.3388662338256836,0.8027193601161927,0.0989493177689612,0.9769808946374916,1.4857313632965088
74,finished,1.1504381364006782,0.1697961256464155,0.9322173747519692,1.5249342918395996,1.0769993418727308,0.1551802601503873,0.9433844431061406,1.567474126815796,1.0778426209637917,0.1554317467829629,0.9432007909727268,1.5711016654968262
75,finished,0.059923047481457,0.0177066777769794,0.999262882026978,1.8724043369293213,0.0596528595224195,0.0176908807919174,0.9992641966775928,1.8962619304656985,0.0588430982423787,0.0176091071959507,0.9992709832499854,1.9654667377471924
76,finished,0.0578753772312419,0.0172472009173034,0.9993006411458498,2.000779867172241,0.0574284308938665,0.0172343653161407,0.9993016817032222,1.9145634174346924,0.0574907419404237,0.0177991923978065,0.9992551592522568,1.6152942180633545
77,finished,0.0628351850068935,0.0152446045321004,0.999453619542362,1.7116942405700684,0.0619596140506248,0.0152708927333933,0.9994517335316488,1.97908902168274,0.060344080741953,0.0153277193114908,0.9994476454829117,1.6730592250823977
78,finished,0.054933267142519,0.0160506410991856,0.9993943139099156,3.511885404586792,0.054784475136019,0.0160080416380912,0.99939752470516,7.304463624954224,0.0566704134160402,0.0162683859950973,0.9993777688214116,4.29965090751648
79,finished,0.064588764795728,0.0173514032166579,0.9992921649943136,2.202858686447144,0.0661595270454952,0.0173483927405192,0.9992924105923796,1.72865891456604,0.0673737339539838,0.0175221491415777,0.9992781655960622,1.4886369705200195
80,finished,1.956653510085748,0.6456834632644485,0.042201654557385,1.135166883468628,1.328487796787296,0.3497502738739023,0.718971166003806,0.9795746803283693,6.098002310787459,0.8526494952295111,-0.6702282829837807,1.1961357593536377
81,finished,0.5630493450102906,0.1365683426359954,0.9571515779707276,1.595503330230713,0.5837849978693176,0.1528478547087928,0.9463272991128332,1.4369370937347412,1.2575799413887363,0.3894814913178358,0.6514954893517089,2.7000112533569336
82,finished,0.2629344737917592,0.0550674608790991,0.99303333610072,1.2062861919403076,0.4228404759825864,0.0760569282460426,0.9867103875077128,1.3179190158843994,0.3791217800618716,0.0471659945243884,0.9948891545591017,1.6749494075775146
83,finished,0.5867525202220235,0.1046057830319204,0.9748611072865302,6.044833898544312,0.6320010725973291,0.1088087848763791,0.9728003900812868,2.096735715866089,0.8790650242925648,0.1202978232835252,0.9667531661354573,1.863281488418579
84,finished,0.1204620835073961,0.0281126098978452,0.998184329291278,1.9972562789916992,0.7507884902660715,0.1223641797730764,0.9656011945108636,2.054612636566162,0.7820164216155966,0.130471472405849,0.9608919751846856,1.4181084632873535
85,finished,0.1519467464011156,0.0283815456964311,0.9981494243515354,1.5125782489776611,0.1501890485218482,0.0282052435907107,0.998172343965968,1.5789339542388916,0.3614872573740728,0.0390978898662396,0.9964881060501958,1.772285223007202
86,finished,0.1131867458985966,0.0195769825329773,0.9991195062822188,1.951920509338379,0.1114971779217796,0.0194725009849934,0.999128879520284,2.386773109436035,0.0819401890860974,0.0190526645202176,0.9991660381272608,1.5789952278137207
87,finished,0.05081285474965,0.0160485205265497,0.9994082956540395,2.2639365196228027,0.0508276531788552,0.0160576657796761,0.9994076210961796,2.2355096340179443,0.0507340126279855,0.0160284253612066,0.9994097765322756,2.103212833404541
