,progress,mae,mse,r2,cpu_time
7895,finished,3.1538591474200115,15.577768804358112,0.2163343445315364,0.0758681297302246
7896,finished,9.374049577750344e-06,1.5354816198527987e-10,0.9999999999922756,0.2495543956756591
7897,finished,0.0015035451757438,3.572937868843656e-06,0.999999820257398,0.2552802562713623
7898,finished,2.99903894208678e-06,1.3467775473132569e-10,0.9999999999932248,0.1940009593963623
7899,finished,8.896223679586495e-05,9.936300363467441e-08,0.9999999950013784,0.177941083908081
7900,finished,9.127928738621018e-06,3.702935207033537e-10,0.9999999999813718,0.4078106880187988
7901,finished,0.244235079502667,0.0903779497289028,0.9954533864185748,0.1722030639648437
7902,finished,4.053678559473236e-05,6.171471254214715e-08,0.9999999968953384,0.2552473545074463
7903,finished,1.3662634030386145,2.966815170065303,0.8507494119278137,0.2204947471618652
7904,finished,1.367004294820248e-05,5.607709458557409e-10,0.9999999999717896,0.405651330947876
7905,finished,1.1453840439364628e-05,5.342556478645152e-10,0.9999999999731234,0.3935325145721435
7906,finished,1.383433061681269e-05,6.26366978054293e-10,0.9999999999684897,0.2028932571411132
7907,finished,1.108037013829688e-05,3.1791452005680427e-10,0.9999999999840068,0.1894896030426025
7908,finished,0.0001452515189189,3.5594945421042894e-08,0.9999999982093368,0.2354495525360107
7909,finished,1.0529181562939447e-05,5.647447891044102e-10,0.9999999999715896,0.3518803119659424
7910,finished,1.273746756985801e-05,3.9282781500617735e-10,0.999999999980238,0.2490322589874267
7911,finished,5.614834295508976e-06,1.3988608397506462e-10,0.9999999999929629,0.3667531013488769
7912,finished,8.110886679324343e-06,2.3702444013809646e-10,0.999999999988076,0.1552438735961914
7913,finished,8.94394999122671e-06,2.7584902771354086e-10,0.999999999986123,0.474423885345459
7914,finished,1.177409219832943e-05,3.4706344319309714e-10,0.9999999999825404,0.2950470447540283
7915,finished,5.480948097221146e-05,5.4329106081691375e-09,0.9999999997266884,0.1722924709320068
7916,finished,2.4603883967800133,9.155039578046022,0.539440456340449,0.1704964637756347
7917,finished,0.0001407148702653,3.2778178487724094e-08,0.999999998351039,0.0877141952514648
7918,finished,7.989530378612908e-06,2.5416525510980044e-10,0.9999999999872138,0.1972308158874511
7919,finished,1.0950918582073125e-05,3.068441209036241e-10,0.9999999999845636,0.4500117301940918
7920,finished,2.1253909796774147e-05,6.429102807644973e-10,0.9999999999676572,0.2359282970428466
7921,finished,2.870502741049293,13.349885617343434,0.32841172608637,0.1604208946228027
7922,finished,9.153223115695433e-06,2.717951115534793e-10,0.9999999999863268,0.4441170692443847
7923,finished,9.62266423725262e-06,3.0625227400671837e-10,0.9999999999845934,0.2738966941833496
7924,finished,2.0720235009401584,6.7365830984321065,0.6611049454031166,0.1544678211212158
7925,finished,0.0001626797901886,8.796674310152728e-07,0.999999955746862,0.1616187095642089
7926,finished,1.3585247019467387e-05,3.8742857755140167e-10,0.9999999999805098,0.2353169918060302
7927,finished,1.2919210340513176e-05,3.125381117156885e-10,0.9999999999842772,0.337996244430542
7928,finished,3.151043669470373,17.36160456143576,0.1265955099541966,0.1226682662963867
7929,finished,3.2317682680822e-05,1.9240514305187727e-09,0.9999999999032074,0.098663330078125
7930,finished,1.0523867790696736e-05,1.7946303314341446e-10,0.9999999999909718,0.4598982334136963
7931,finished,6.375925478589049e-06,8.301601186470555e-11,0.9999999999958238,0.5183875560760498
7932,finished,2.5496317746007606,10.165098040572207,0.4886277798244383,0.0980081558227539
7933,finished,9.24817701951017e-06,1.4413076034661018e-10,0.9999999999927492,0.5045878887176514
7934,finished,1.672483821241305e-05,5.20934877072367e-10,0.9999999999737936,0.1037027835845947
7935,finished,0.3905096271814415,0.2553924640802351,0.9871520559023091,0.1967840194702148
7936,finished,8.289117241686477e-06,1.5520098680245208e-10,0.9999999999921924,0.2943108081817627
7937,finished,8.565532197077007e-06,1.7437617562382471e-10,0.9999999999912276,0.3014028072357178
7938,finished,1.311954178970113,2.7468615955129785,0.861814543548329,0.1871960163116455
7939,finished,7.760821910744292e-06,1.8480823168909199e-10,0.9999999999907028,0.4845058917999267
7940,finished,1.1085421613332649e-05,2.4979805792116075e-10,0.9999999999874336,0.4317631721496582
7941,finished,3.74310434288996,23.095677052071,-0.161866575554493,0.1763772964477539
7942,finished,0.9318504143986848,1.2282440201113198,0.938211134907428,0.2306334972381591
7943,finished,7.474619124979828e-06,1.9952481821897208e-10,0.9999999999899626,0.4770278930664062
7944,finished,3.670561078565017,22.971895674559804,-0.1556395467957301,0.1277179718017578
7945,finished,1.2869868487458316,2.826838268735349,0.8577911835389378,0.1868715286254882
7946,finished,9.561397165655668e-06,2.533437544548014e-10,0.9999999999872552,0.4640419483184814
7947,finished,9.981935559824957e-06,2.7005573375790737e-10,0.9999999999864144,0.2917523384094238
7948,finished,8.079445965974063e-06,2.6887241887881365e-10,0.999999999986474,0.4738671779632568
7949,finished,3.3701939809981787,19.13623726431057,0.0373196503763419,0.1966357231140136
7950,finished,9.213260814510278e-06,2.04120545293824e-10,0.9999999999897312,0.3501803874969482
7951,finished,0.0003383661900894,5.945216206533086e-06,0.9999997009159776,0.0167295932769775
7952,finished,0.0003383617823903,5.945260552299498e-06,0.9999997009137466,0.0169405937194824
7953,finished,0.0003383614855523,5.945452573543424e-06,0.9999997009040866,0.0166301727294921
7954,finished,0.0001459860867559,3.977802907540532e-08,0.9999999979988998,0.2290041446685791
7955,finished,2.711267665481905,11.23781302365416,0.4346630624823389,0.4289178848266601
7956,finished,1.0525762373017765e-05,3.5962109650052224e-10,0.9999999999819088,0.3452882766723633
7957,finished,3.303160179838896e-05,1.9004197160830793e-09,0.9999999999043964,0.1153948307037353
7958,finished,0.0003404429380533,5.964435205284096e-06,0.9999996999491336,0.0342359542846679
7959,finished,0.0005112040292891,6.612641989477488e-06,0.9999996673400096,0.0300991535186767
7960,finished,6.712987807181564e-06,7.759283914965201e-11,0.9999999999960966,0.319019079208374
7961,finished,1.4813765847373928,3.653817320313725,0.8161886223086962,0.204674482345581
7962,finished,0.0001540580872763,1.7460861596688545e-06,0.999999912160222,0.0176911354064941
7963,finished,0.4108388492832243,0.245466815080127,0.987651382238918,0.2364768981933593
7964,finished,0.5951487861384369,0.51478672916943,0.974102794526764,0.3208472728729248
7965,finished,0.000164033894115,1.7404709142594056e-06,0.9999999124427064,0.0182633399963378
