nmae,nrmse,r2,log_likelihood,lf_nmae,lf_nrmse,lf_r2
0.6160554,0.08507686,0.6217849250834002,-55.52682,0.39973998,0.07794123,0.6885322291782809
0.57557446,0.08511507,0.6214451309717102,-68.09998,0.40609074,0.07740693,0.692787969982914
0.8848612,0.08755072,0.5994697220213197,-61.951515,0.42770377,0.077795096,0.6896991094769177
0.49360693,0.0873494,0.6013096128932196,-61.65351,0.39763966,0.08011752,0.6708956672615184
0.50876856,0.08861656,0.589658325591712,-72.671135,0.4063997,0.07915618,0.6787462436589433
