,method,noise_std,num_hf,num_lf,problem,seed
259,scaled_kriging,0.3,15,50,mf_Bohachevsky,3
260,scaled_kriging,0.5,15,50,mf_Bohachevsky,3
261,scaled_kriging,0.1,20,50,mf_Bohachevsky,3
262,scaled_kriging,0.3,20,50,mf_Bohachevsky,3
263,scaled_kriging,0.5,20,50,mf_Bohachevsky,3
264,scaled_kriging,0.1,25,50,mf_Bohachevsky,3
265,scaled_kriging,0.3,25,50,mf_Bohachevsky,3
266,scaled_kriging,0.5,25,50,mf_Bohachevsky,3
267,scaled_kriging,0.1,30,50,mf_Bohachevsky,3
268,scaled_kriging,0.3,30,50,mf_Bohachevsky,3
269,scaled_kriging,0.5,30,50,mf_Bohachevsky,3
270,scaled_kriging,0.1,5,75,mf_Bohachevsky,3
271,scaled_kriging,0.3,5,75,mf_Bohachevsky,3
272,scaled_kriging,0.5,5,75,mf_Bohachevsky,3
273,scaled_kriging,0.1,10,75,mf_Bohachevsky,3
274,scaled_kriging,0.3,10,75,mf_Bohachevsky,3
275,scaled_kriging,0.5,10,75,mf_Bohachevsky,3
276,scaled_kriging,0.1,15,75,mf_Bohachevsky,3
277,scaled_kriging,0.3,15,75,mf_Bohachevsky,3
278,scaled_kriging,0.5,15,75,mf_Bohachevsky,3
279,scaled_kriging,0.1,20,75,mf_Bohachevsky,3
280,scaled_kriging,0.3,20,75,mf_Bohachevsky,3
281,scaled_kriging,0.5,20,75,mf_Bohachevsky,3
282,scaled_kriging,0.1,25,75,mf_Bohachevsky,3
283,scaled_kriging,0.3,25,75,mf_Bohachevsky,3
284,scaled_kriging,0.5,25,75,mf_Bohachevsky,3
285,scaled_kriging,0.1,30,75,mf_Bohachevsky,3
286,scaled_kriging,0.3,30,75,mf_Bohachevsky,3
287,scaled_kriging,0.5,30,75,mf_Bohachevsky,3
288,scaled_kriging,0.1,5,100,mf_Bohachevsky,3
289,scaled_kriging,0.3,5,100,mf_Bohachevsky,3
290,scaled_kriging,0.5,5,100,mf_Bohachevsky,3
291,scaled_kriging,0.1,10,100,mf_Bohachevsky,3
292,scaled_kriging,0.3,10,100,mf_Bohachevsky,3
293,scaled_kriging,0.5,10,100,mf_Bohachevsky,3
294,scaled_kriging,0.1,15,100,mf_Bohachevsky,3
295,scaled_kriging,0.3,15,100,mf_Bohachevsky,3
296,scaled_kriging,0.5,15,100,mf_Bohachevsky,3
297,scaled_kriging,0.1,20,100,mf_Bohachevsky,3
298,scaled_kriging,0.3,20,100,mf_Bohachevsky,3
299,scaled_kriging,0.5,20,100,mf_Bohachevsky,3
300,scaled_kriging,0.1,25,100,mf_Bohachevsky,3
301,scaled_kriging,0.3,25,100,mf_Bohachevsky,3
302,scaled_kriging,0.5,25,100,mf_Bohachevsky,3
303,scaled_kriging,0.1,30,100,mf_Bohachevsky,3
304,scaled_kriging,0.3,30,100,mf_Bohachevsky,3
305,scaled_kriging,0.5,30,100,mf_Bohachevsky,3
306,scaled_kriging,0.1,5,125,mf_Bohachevsky,3
307,scaled_kriging,0.3,5,125,mf_Bohachevsky,3
308,scaled_kriging,0.5,5,125,mf_Bohachevsky,3
309,scaled_kriging,0.1,10,125,mf_Bohachevsky,3
310,scaled_kriging,0.3,10,125,mf_Bohachevsky,3
311,scaled_kriging,0.5,10,125,mf_Bohachevsky,3
312,scaled_kriging,0.1,15,125,mf_Bohachevsky,3
313,scaled_kriging,0.3,15,125,mf_Bohachevsky,3
314,scaled_kriging,0.5,15,125,mf_Bohachevsky,3
315,scaled_kriging,0.1,20,125,mf_Bohachevsky,3
316,scaled_kriging,0.3,20,125,mf_Bohachevsky,3
317,scaled_kriging,0.5,20,125,mf_Bohachevsky,3
318,scaled_kriging,0.1,25,125,mf_Bohachevsky,3
319,scaled_kriging,0.3,25,125,mf_Bohachevsky,3
320,scaled_kriging,0.5,25,125,mf_Bohachevsky,3
321,scaled_kriging,0.1,30,125,mf_Bohachevsky,3
322,scaled_kriging,0.3,30,125,mf_Bohachevsky,3
323,scaled_kriging,0.5,30,125,mf_Bohachevsky,3
324,scaled_kriging,0.1,5,150,mf_Bohachevsky,3
325,scaled_kriging,0.3,5,150,mf_Bohachevsky,3
326,scaled_kriging,0.5,5,150,mf_Bohachevsky,3
327,scaled_kriging,0.1,10,150,mf_Bohachevsky,3
328,scaled_kriging,0.3,10,150,mf_Bohachevsky,3
329,scaled_kriging,0.5,10,150,mf_Bohachevsky,3
330,scaled_kriging,0.1,15,150,mf_Bohachevsky,3
331,scaled_kriging,0.3,15,150,mf_Bohachevsky,3
332,scaled_kriging,0.5,15,150,mf_Bohachevsky,3
333,scaled_kriging,0.1,20,150,mf_Bohachevsky,3
334,scaled_kriging,0.3,20,150,mf_Bohachevsky,3
335,scaled_kriging,0.5,20,150,mf_Bohachevsky,3
336,scaled_kriging,0.1,25,150,mf_Bohachevsky,3
337,scaled_kriging,0.3,25,150,mf_Bohachevsky,3
338,scaled_kriging,0.5,25,150,mf_Bohachevsky,3
339,scaled_kriging,0.1,30,150,mf_Bohachevsky,3
340,scaled_kriging,0.3,30,150,mf_Bohachevsky,3
341,scaled_kriging,0.5,30,150,mf_Bohachevsky,3
342,scaled_kriging,0.1,5,175,mf_Bohachevsky,3
343,scaled_kriging,0.3,5,175,mf_Bohachevsky,3
344,scaled_kriging,0.5,5,175,mf_Bohachevsky,3
345,scaled_kriging,0.1,10,175,mf_Bohachevsky,3
346,scaled_kriging,0.3,10,175,mf_Bohachevsky,3
347,scaled_kriging,0.5,10,175,mf_Bohachevsky,3
348,scaled_kriging,0.1,15,175,mf_Bohachevsky,3
