nmae,nrmse,r2,log_likelihood,lf_nmae,lf_nrmse,lf_r2
1.036330410116221,0.08753759613731382,0.9226333370193918,-366831.45827793295,0.62746924,0.06469302,0.9617806705946252
1.2675808926839471,0.0689815541562989,0.9519569487438171,-298612.51905992284,0.4599118,0.050775986,0.9764557453880552
0.7718647412780127,0.0958943601479205,0.9071566582570388,-370183.58032009786,0.533809,0.07218954,0.9524098822837694
0.7662836853446044,0.08950661914353299,0.9191137057766008,-388424.9979413658,0.5517691,0.06781538,0.9580023910936762
0.5229519549172351,0.07696184821142839,0.9401980136413988,-387257.8827961855,0.37480626,0.0547304,0.9726457137380253
0.4808284196073848,0.07786507876000438,0.9387860947666434,-333557.0387813961,0.44337603,0.056889255,0.970445152767447
1.2306129470663478,0.09889815674056675,0.9012491080429236,-497903.2869126088,0.41307858,0.068619885,0.9570000281889826
0.8630467062475684,0.07872608007457635,0.9374248516865848,-380850.76395965234,0.3984776,0.04587086,0.980784933857463
0.6651285812972105,0.0748620880124892,0.9434166697566152,-347517.424026419,0.42946413,0.05282922,0.9745131238680154
0.4644017879625716,0.07121123553260524,0.9488009769244086,-308759.59888438357,0.45155627,0.052066322,0.9752439137750178
