,method,num_hf,num_lf,problem,seed
146,hk,14,95,Forrester_1a,1
147,hk,16,95,Forrester_1a,1
148,hk,18,95,Forrester_1a,1
149,hk,20,95,Forrester_1a,1
150,hk,2,100,Forrester_1a,1
151,hk,4,100,Forrester_1a,1
152,hk,6,100,Forrester_1a,1
153,hk,8,100,Forrester_1a,1
154,hk,10,100,Forrester_1a,1
155,hk,12,100,Forrester_1a,1
156,hk,14,100,Forrester_1a,1
157,hk,16,100,Forrester_1a,1
158,hk,18,100,Forrester_1a,1
159,hk,20,100,Forrester_1a,1
160,hk,2,105,Forrester_1a,1
161,hk,4,105,Forrester_1a,1
162,hk,6,105,Forrester_1a,1
163,hk,8,105,Forrester_1a,1
164,hk,10,105,Forrester_1a,1
165,hk,12,105,Forrester_1a,1
166,hk,14,105,Forrester_1a,1
167,hk,16,105,Forrester_1a,1
168,hk,18,105,Forrester_1a,1
169,hk,20,105,Forrester_1a,1
170,hk,2,110,Forrester_1a,1
171,hk,4,110,Forrester_1a,1
172,hk,6,110,Forrester_1a,1
173,hk,8,110,Forrester_1a,1
174,hk,10,110,Forrester_1a,1
175,hk,12,110,Forrester_1a,1
176,hk,14,110,Forrester_1a,1
177,hk,16,110,Forrester_1a,1
178,hk,18,110,Forrester_1a,1
179,hk,20,110,Forrester_1a,1
180,hk,2,115,Forrester_1a,1
181,hk,4,115,Forrester_1a,1
182,hk,6,115,Forrester_1a,1
183,hk,8,115,Forrester_1a,1
184,hk,10,115,Forrester_1a,1
185,hk,12,115,Forrester_1a,1
186,hk,14,115,Forrester_1a,1
187,hk,16,115,Forrester_1a,1
188,hk,18,115,Forrester_1a,1
189,hk,20,115,Forrester_1a,1
190,hk,2,120,Forrester_1a,1
191,hk,4,120,Forrester_1a,1
192,hk,6,120,Forrester_1a,1
193,hk,8,120,Forrester_1a,1
194,hk,10,120,Forrester_1a,1
195,hk,12,120,Forrester_1a,1
196,hk,14,120,Forrester_1a,1
197,hk,16,120,Forrester_1a,1
198,hk,18,120,Forrester_1a,1
199,hk,20,120,Forrester_1a,1
200,hk,2,25,Forrester_1a,2
201,hk,4,25,Forrester_1a,2
202,hk,6,25,Forrester_1a,2
203,hk,8,25,Forrester_1a,2
