,progress,normalized_mae,normalized_rmse,r2,cpu_time
5607,finished,1.5209620233369177,0.2771033342283664,0.8665901333543915,37.07335686683655
5608,finished,1.0149016850477128,0.2514433065755991,0.8901539092792478,25.549556016922
5609,finished,0.880723340016824,0.2285033449450513,0.9092828138418344,30.353800296783447
5610,finished,2.599559892332371,0.7082266051386717,0.1285370620418942,14.04615306854248
5611,finished,2.729352239044304,0.6181518478231087,0.3361120426507213,18.021778345108032
5612,finished,1.367697692635995,0.3709984626111977,0.7608619590874227,20.06154441833496
5613,finished,1.2153501189398417,0.3146682152729664,0.8279676186739009,15.740135431289673
5614,finished,1.4043529393930865,0.3187811310694646,0.8234410808069617,16.816957473754883
5615,finished,1.837149913911336,0.2910812854002353,0.8527914566420847,30.980148315429688
5616,finished,1.4405695067681776,0.2276339371851402,0.9099718206763724,28.93594527244568
5617,finished,1.4248779218330696,0.2632725322651583,0.8795753068018936,30.891414403915405
5618,finished,0.7949266490500124,0.2150638528143955,0.9196401179167538,41.73312830924988
5619,finished,0.9043660886667813,0.1957604061874869,0.933418409996013,31.2937879562378
5620,finished,2.605489300870999,0.614032285746876,0.3449312816265673,19.290055751800537
5621,finished,3.1598180877206,0.6446380747264875,0.2780014038115133,20.382396459579468
5622,finished,1.2221024423872715,0.3552230702146925,0.7807665721580621,23.298614978790283
5623,finished,1.3022055915158006,0.3023918596246837,0.8411289964875175,18.982282638549805
5624,finished,1.3938362651496996,0.2729787702218541,0.8705320733687778,25.88583016395569
5625,finished,1.965066062592452,0.2799335254678719,0.8638510568451818,18.450251817703247
5626,finished,1.5867169764806794,0.2555473009456315,0.8865388858427528,36.11726713180542
5627,finished,1.519272906260177,0.2545237965674118,0.8874459225592296,38.909446001052856
5628,finished,1.11131136241312,0.2245619050117439,0.9123853732967108,35.56482768058777
5629,finished,0.9350484449959036,0.2110752953287436,0.9225931742811206,42.20344305038452
5630,finished,2.013783779475137,0.6393594088143604,0.2897772682103291,19.544071674346924
5631,finished,2.875994091567249,0.6268263061127495,0.3173487720875145,24.082926034927368
5632,finished,1.277491700336637,0.3624631200937508,0.7717387998928132,20.130396366119385
5633,finished,1.1475716827226417,0.2943150475871452,0.8495024668677664,22.893929958343502
5634,finished,1.3773759214746542,0.2639035604526697,0.8789973319886168,21.683972358703613
5635,finished,1.6311925595989256,0.2912686088729934,0.8526019254698709,26.17054390907288
5636,finished,1.467099853452868,0.2206857361013547,0.915383905851895,34.969051122665405
5637,finished,1.5219586127148172,0.2510806142949034,0.8904705738668839,30.53045463562012
5638,finished,0.9694893410172244,0.205999955192209,0.9262709396532832,36.76299691200256
5639,finished,0.8862835143735178,0.1993508316129504,0.9309536777896904,39.850740909576416
5640,finished,2.9019851603496654,0.7149695767771259,0.1118638009815923,26.850549697875977
5641,finished,2.73963493298812,0.6156670184615846,0.3414386713428498,34.27608346939087
