,progress,normalized_mae,normalized_rmse,r2,log_likelihood,learned_noise_std,cpu_time
0,finished,0.1644197729474682,0.0191689492803079,0.997413275550596,3156.033523284834,0.1094174130550134,46.1203989982605
1,finished,0.6578113933766713,0.1923767463879671,0.7394694224797864,-115211.85169650835,6.946385970160275e-06,34.40343737602234
2,finished,0.7717421374808107,0.2464784593324825,0.5723273351225995,-15871.470001205184,0.0897396150852669,48.95110988616944
3,finished,0.1372491681387681,0.0230883783022085,0.996247329693292,2876.8491411354626,0.1349825784334181,55.619019985198975
4,finished,0.2422685721895278,0.0587402902538678,0.9757100999465294,-1197.062876279605,0.3031333896090458,34.89370512962341
5,finished,0.7034570014724784,0.2486434288253407,0.5647813236993122,-28973.48342313051,9.183019796780904e-06,40.82183623313904
6,finished,0.0992262615445012,0.018735310051386,0.997528985347068,2986.503499203592,0.0893291984960912,42.00953030586243
7,finished,0.1254781270604483,0.0233556457679549,0.9961599461826456,-1120.2080260078296,0.2345698119941307,45.96223640441895
8,finished,0.5732746294879176,0.1159568779099836,0.9053443420206384,-3385.538313359938,0.516031105006469,46.08597612380981
9,finished,0.1035354557043383,0.0198067797705727,0.9972382694956038,3150.9157236525625,0.1046372433974823,47.122310161590576
10,finished,0.7247317703852801,0.1508488894474134,0.8398091204559147,-4493.934638929581,0.1616014900282665,36.23108887672424
11,finished,0.529797212899333,0.0899019124790642,0.9431027321424272,-3185.100368171908,0.5089573036166292,54.56028771400452
12,finished,0.0820244035233889,0.0151029677135466,0.9983942492282586,3320.0330928781545,0.0978945249058877,42.78443789482117
13,finished,0.3620434862313425,0.0503682910938728,0.9821405539568842,-1125.1805903656766,0.3039133325137543,36.70822095870972
14,finished,0.2555550114707399,0.0528737153852204,0.9803196322562112,-3043.005241213448,0.5342633450045199,59.26125979423523
15,finished,0.0823697494954701,0.0137010936725548,0.9986785095695212,3369.9369270160005,0.0941226880481566,50.40334987640381
16,finished,0.356625415841155,0.0661149489914392,0.9692282010789794,-1366.2151609419773,0.3077179016085091,48.54019236564636
17,finished,0.5624387185043017,0.0781730153333489,0.9569803096853076,-3189.950009358597,0.5367637083652788,45.062734842300415
18,finished,0.167300768444207,0.0211103886803921,0.9968627725198236,3032.417460858038,0.1067617944852476,51.015117168426514
19,finished,0.1061890865099013,0.0306610683411869,0.9933819793527746,-1001.7944172240648,0.3069262185548282,45.3232147693634
20,finished,0.5763993426423045,0.0921425689901752,0.9402312484469928,-3198.9332762131103,0.4994820803233952,68.93638038635254
21,finished,0.0636706026589131,0.0165391287964201,0.9980743435444646,3076.647265060711,0.0909634296826143,53.190948724746704
22,finished,0.2329497569105594,0.0399657363909919,0.9887557837232672,-1063.922485728529,0.3241560350620503,48.18511629104614
23,finished,0.5908600453886844,0.0615451723566938,0.9733350031953588,-3106.444856024853,0.5189508711186921,37.40337562561035
